Name,Description,Combined Group,Unique Machines,Unique UserID, Count F,Count H,EULA Machines
,"",_1,56,51,56,0,56
,"",_3,40,28,40,0,40
,"",_2,35,33,35,0,35
,"",_4,25,19,25,0,25
,"",_5,24,22,23,0,23
,"",_40,22,5,22,0,22
,"",_7,20,19,4,0,4
,"",_6,18,19,18,0,18
,"",_9,18,17,18,0,18
,"",_10,18,18,18,0,18
,"",_12,18,17,18,0,18
,"",_8,17,17,15,0,15
,"",_26,16,7,16,0,16
,"",_16,15,13,15,0,15
,"",_21,15,11,15,0,15
,"",_13,13,13,5,8,13
,"",_14,13,13,13,0,13
,"",_15,13,13,13,0,13
,"",_11,12,12,12,0,12
,"",_18,12,10,12,0,12
,"",_20,11,11,11,0,11
,"",_24,11,11,11,0,11
,"",_25,11,7,6,0,6
,"",_32,11,9,11,0,11
,"",_34,11,9,11,0,11
,"",_22,10,9,10,0,10
,"",_27,10,10,10,0,10
,"",_33,10,9,10,0,10
,"",_36,10,6,3,0,3
,"",_39,10,7,10,0,10
,"",_17,9,9,6,0,6
,"",_19,9,3,0,0,0
,"",_23,9,9,8,1,9
,"",_28,9,9,7,1,8
,"",_30,9,8,9,0,9
,"",_31,9,7,9,0,9
,"",_38,9,8,9,0,9
,"",_48,9,8,9,0,9
,"",_29,8,6,0,0,0
,"",_35,8,8,7,0,7
,"",_45,8,8,8,0,8
,"",_46,8,8,8,0,8
,"",_47,8,8,8,0,8
,"",_53,8,6,1,0,1
,"",_54,7,7,7,0,7
,"",_56,7,6,7,0,7
,"",_64,7,2,4,0,4
,"",_77,7,5,7,0,7
,"",_81,7,5,7,0,7
,"",_43,6,5,6,0,6
,"",_57,6,6,6,0,6
,"",_58,6,3,3,0,3
,"",_63,6,5,6,0,6
,"",_67,6,2,3,0,3
,"",_69,6,6,6,0,6
,"",_70,6,6,1,0,1
,"",_120,6,4,5,0,5
,"",_51,5,1,2,0,2
,"",_61,5,4,2,0,2
,"",_72,5,5,4,1,5
,"",_75,5,5,2,1,3
,"",_79,5,5,5,0,5
,"",_84,5,5,1,0,1
,"",_88,5,5,4,1,5
,"",_89,5,3,5,0,5
,"",_98,5,4,0,0,0
,"",_99,5,5,5,0,5
,"",_116,5,4,5,0,5
,"",_138,5,4,5,0,5
,"",_140,5,4,5,0,5
,"",_153,5,3,0,0,0
,"",_164,5,4,5,0,5
,"",_1394,5,2,5,0,5
,"",_41,4,4,4,0,4
,"",_68,4,3,4,0,4
,"",_71,4,4,1,0,1
,"",_76,4,3,4,0,4
,"",_82,4,4,0,0,0
,"",_85,4,4,4,0,4
,"",_86,4,4,3,1,4
,"",_87,4,3,4,0,4
,"",_90,4,3,1,0,1
,"",_94,4,3,4,0,4
,"",_97,4,4,2,0,2
,"",_112,4,3,4,0,4
,"",_122,4,4,4,0,4
,"",_126,4,3,3,0,3
,"",_132,4,4,4,0,4
,"",_135,4,4,4,0,4
,"",_139,4,4,4,0,4
,"",_143,4,3,1,0,1
,"",_146,4,4,4,0,4
,"",_147,4,2,4,0,4
,"",_148,4,4,4,0,4
,"",_149,4,2,4,0,4
,"",_150,4,2,4,0,4
,"",_160,4,4,4,0,4
,"",_161,4,4,4,0,4
,"",_168,4,4,4,0,4
,"",_170,4,4,0,0,0
,"",_171,4,4,4,0,4
,"",_172,4,4,4,0,4
,"",_173,4,4,4,0,4
,"",_174,4,4,4,0,4
,"",_175,4,4,4,0,4
,"",_177,4,2,2,0,2
,"",_236,4,3,4,0,4
,"",_262,4,3,4,0,4
,"",_265,4,3,4,0,4
,"",_266,4,2,2,0,2
,"",_309,4,3,4,0,4
,"",_314,4,3,3,1,4
,"",_337,4,2,4,0,4
,"",_379,4,3,4,0,4
,"",_383,4,3,4,0,4
,"",_385,4,3,4,0,4
,"",_424,4,3,4,0,4
,"",_444,4,2,4,0,4
,"",_806,4,1,0,0,0
,"",_883,4,1,0,0,0
,"",_1033,4,1,4,0,4
,"",_1291,4,2,4,0,4
,"",_42,3,3,3,0,3
,"",_52,3,1,1,0,1
,"",_73,3,3,2,0,2
,"",_93,3,3,1,0,1
,"",_95,3,2,3,0,3
,"",_109,3,3,3,0,3
,"",_110,3,1,1,0,1
,"",_118,3,1,3,0,3
,"",_121,3,3,1,0,1
,"",_125,3,3,3,0,3
,"",_130,3,2,3,0,3
,"",_133,3,3,3,0,3
,"",_137,3,2,1,0,1
,"",_145,3,3,3,0,3
,"",_151,3,2,3,0,3
,"",_154,3,3,0,0,0
,"",_167,3,3,3,0,3
,"",_178,3,1,2,0,2
,"",_189,3,3,1,0,1
,"",_208,3,1,3,0,3
,"",_214,3,1,1,0,1
,"",_229,3,3,2,0,2
,"",_234,3,3,3,0,3
,"",_237,3,3,3,0,3
,"",_238,3,3,3,0,3
,"",_239,3,3,3,0,3
,"",_241,3,3,3,0,3
,"",_252,3,2,3,0,3
,"",_256,3,3,3,0,3
,"",_258,3,3,3,0,3
,"",_280,3,3,3,0,3
,"",_281,3,3,2,0,2
,"",_282,3,3,3,0,3
,"",_292,3,3,3,0,3
,"",_300,3,3,3,0,3
,"",_306,3,3,3,0,3
,"",_307,3,3,0,0,0
,"",_308,3,3,3,0,3
,"",_310,3,3,3,0,3
,"",_311,3,3,3,0,3
,"",_312,3,3,2,0,2
,"",_313,3,3,3,0,3
,"",_315,3,1,3,0,3
,"",_324,3,1,3,0,3
,"",_334,3,3,3,0,3
,"",_335,3,3,3,0,3
,"",_342,3,1,3,0,3
,"",_353,3,2,3,0,3
,"",_362,3,1,0,0,0
,"",_373,3,2,1,0,1
,"",_394,3,3,3,0,3
,"",_398,3,3,3,0,3
,"",_399,3,3,3,0,3
,"",_400,3,3,3,0,3
,"",_405,3,3,2,0,2
,"",_406,3,3,3,0,3
,"",_408,3,3,3,0,3
,"",_419,3,1,2,1,3
,"",_422,3,2,2,0,2
,"",_434,3,1,2,0,2
,"",_462,3,2,3,0,3
,"",_573,3,2,3,0,3
,"",_599,3,2,3,0,3
,"",_681,3,1,3,0,3
,"",_701,3,1,0,0,0
,"",_705,3,2,1,0,1
,"",_779,3,2,3,0,3
,"",_785,3,1,3,0,3
,"",_825,3,1,0,0,0
,"",_911,3,2,3,0,3
,"",_918,3,2,3,0,3
,"",_937,3,2,0,0,0
,"",_965,3,2,3,0,3
,"",_971,3,2,2,0,2
,"",_976,3,1,1,0,1
,"",_977,3,2,1,0,1
,"",_1020,3,2,3,0,3
,"",_1023,3,1,3,0,3
,"",_1214,3,2,1,2,3
,"",_1367,3,2,3,0,3
,"",_1370,3,1,1,1,2
,"",_1385,3,2,1,0,1
,"",_1464,3,1,2,0,2
,"",_1468,3,2,3,0,3
,"",_1486,3,2,3,0,3
,"",_2963,3,1,3,0,3
,"",_3234,3,1,2,0,2
,"",_50,2,2,2,0,2
,"",_55,2,2,1,1,2
,"",_59,2,3,2,0,2
,"",_62,2,1,2,0,2
,"",_65,2,1,2,0,2
,"",_74,2,3,1,0,1
,"",_80,2,2,2,0,2
,"",_91,2,1,2,0,2
,"",_92,2,1,2,0,2
,"",_96,2,1,2,0,2
,"",_101,2,1,2,0,2
,"",_102,2,2,1,0,1
,"",_103,2,2,2,0,2
,"",_105,2,1,2,0,2
,"",_108,2,2,2,0,2
,"",_111,2,1,2,0,2
,"",_113,2,1,2,0,2
,"",_115,2,2,2,0,2
,"",_117,2,2,0,0,0
,"",_119,2,1,1,0,1
,"",_123,2,2,2,0,2
,"",_124,2,1,2,0,2
,"",_128,2,3,2,0,2
,"",_129,2,1,2,0,2
,"",_134,2,2,1,0,1
,"",_136,2,1,0,0,0
,"",_152,2,2,2,0,2
,"",_163,2,1,2,0,2
,"",_165,2,2,2,0,2
,"",_166,2,2,0,0,0
,"",_176,2,2,2,0,2
,"",_179,2,1,2,0,2
,"",_182,2,2,2,0,2
,"",_183,2,1,2,0,2
,"",_184,2,1,1,0,1
,"",_185,2,1,2,0,2
,"",_187,2,1,0,0,0
,"",_191,2,1,2,0,2
,"",_195,2,1,0,0,0
,"",_198,2,1,2,0,2
,"",_200,2,1,1,0,1
,"",_201,2,1,2,0,2
,"",_202,2,2,2,0,2
,"",_203,2,1,2,0,2
,"",_204,2,2,2,0,2
,"",_211,2,1,2,0,2
,"",_213,2,2,2,0,2
,"",_215,2,2,2,0,2
,"",_217,2,2,2,0,2
,"",_218,2,1,2,0,2
,"",_219,2,2,1,0,1
,"",_222,2,1,2,0,2
,"",_223,2,1,0,0,0
,"",_226,2,1,0,0,0
,"",_227,2,2,2,0,2
,"",_228,2,2,1,0,1
,"",_233,2,2,2,0,2
,"",_235,2,2,2,0,2
,"",_240,2,2,2,0,2
,"",_242,2,2,2,0,2
,"",_243,2,1,2,0,2
,"",_248,2,2,2,0,2
,"",_254,2,2,2,0,2
,"",_263,2,1,1,0,1
,"",_267,2,2,0,0,0
,"",_268,2,1,2,0,2
,"",_271,2,1,2,0,2
,"",_272,2,2,1,0,1
,"",_275,2,2,1,0,1
,"",_277,2,2,2,0,2
,"",_278,2,2,2,0,2
,"",_284,2,1,1,0,1
,"",_287,2,2,2,0,2
,"",_288,2,1,2,0,2
,"",_290,2,2,2,0,2
,"",_291,2,2,2,0,2
,"",_293,2,2,2,0,2
,"",_294,2,1,2,0,2
,"",_296,2,2,2,0,2
,"",_299,2,1,2,0,2
,"",_301,2,1,2,0,2
,"",_304,2,2,1,1,2
,"",_305,2,2,1,0,1
,"",_320,2,2,0,0,0
,"",_321,2,2,2,0,2
,"",_322,2,1,2,0,2
,"",_325,2,1,2,0,2
,"",_331,2,2,2,0,2
,"",_332,2,1,0,0,0
,"",_333,2,1,2,0,2
,"",_336,2,2,1,0,1
,"",_339,2,2,1,0,1
,"",_344,2,1,2,0,2
,"",_345,2,1,2,0,2
,"",_347,2,1,2,0,2
,"",_348,2,2,1,0,1
,"",_351,2,2,2,0,2
,"",_364,2,2,1,0,1
,"",_365,2,1,2,0,2
,"",_372,2,1,2,0,2
,"",_374,2,1,2,0,2
,"",_377,2,1,2,0,2
,"",_378,2,2,1,0,1
,"",_381,2,1,2,0,2
,"",_387,2,2,0,0,0
,"",_388,2,1,1,0,1
,"",_390,2,1,0,0,0
,"",_391,2,1,1,0,1
,"",_396,2,2,1,0,1
,"",_397,2,2,0,0,0
,"",_403,2,2,2,0,2
,"",_404,2,2,2,0,2
,"",_409,2,2,1,0,1
