Name,Description,Combined Group,Unique Machines,Unique UserID, Count F,Count H,EULA Machines
Game5mobile,"https://genesis.hq.unity3d.com/users/18966812194079/
https://www.game5mobile.com/about
",_35,87,81,84,1,85
Universitas Islam Indonesia,"",_149,57,56,57,0,57
Budi Luhur University,"",_80,54,52,51,0,51
Cabulers,"",_1,51,45,48,0,48
Agate Studio,"",_146,42,36,31,4,35
Universitas Multimedia Nusantara,"",_132,29,28,28,1,29
,"",_4,20,18,18,2,20
Shinta VR,"https://genesis.hq.unity3d.com/users/1374519784166/
Tanpanama Studio
Ganbri-ya Production
Festivo 360
",_60,14,10,11,0,11
Joy Leap Studio,"https://joyleap.net/
https://genesis.hq.unity3d.com/users/3201775/
",_40,13,9,13,0,13
FX Media (Singapore),"",_18,13,2,13,0,13
Universitas Pendidikan Indonesia,"",_969,11,11,11,0,11
,"",_5,11,10,10,0,10
Merapitech Game Studio,"http://www.merapitech.com/
",_27,10,8,10,0,10
Ciayo Games,"https://games.ciayo.com/
Dragon Capital Centre PT.
",_44,10,9,9,0,9
Rock Nano Global (Singapore),"https://www.rocknanoglobal.com/
HQ in Singapore
",_251,9,7,9,0,9
Asta Game,"https://genesis.hq.unity3d.com/organizations/1374584121788/
http://asta.id/
",_252,9,5,9,0,9
,"",_6,9,9,9,0,9
AR&Co,"https://genesis.hq.unity3d.com/organizations/903148/
Arcasia Studio Bandung
",_20,8,4,6,0,6
Sotong Studio,"https://genesis.hq.unity3d.com/organizations/1374500929754/
",_72,7,7,6,1,7
ICANDO,"https://genesis.hq.unity3d.com/organizations/1374526767450/
https://icando.co.id/
PT ICD KARYA Indonesia
",_19,7,5,5,0,5
,"",_455,7,2,7,0,7
Octagon Studio,"https://genesis.hq.unity3d.com/organizations/834022/
",_301,6,6,4,0,4
Miracle Gates Entertainment,"https://academy.miraclegates.com/
Game Development Academy
https://genesis.hq.unity3d.com/organizations/18966788459968/
",_156,6,2,4,0,4
,"",_12,6,6,3,0,3
UNIKOM CodeLabs,"https://genesis.hq.unity3d.com/organizations/18966803487037/
",_37,5,5,4,0,4
Touchten Games,"https://genesis.hq.unity3d.com/organizations/117895/
https://genesis.hq.unity3d.com/users/48591/
",_46,5,2,1,0,1
Toge Productions,"https://genesis.hq.unity3d.com/users/2523249/
",_102,5,5,3,0,3
Origaming Media,"https://www.origamingmedia.com/index.html
2 Plus licenses
",_11,5,4,3,0,3
Clay Game Studio,"https://www.claygamestudio.com/
",_147,5,5,5,0,5
,"",_9,5,4,5,0,5
,"",_23,5,5,5,0,5
Joyseed Gametribe,"http://joyseedgametribe.com/
Only 1 Plus license
Subsidiary of iCandy Interactive
https://www.icandy.io/corporate-profile/
(listed company)
",_738,4,5,2,0,2
Assemblr World,"https://assemblrworld.com/
2 Plus licenses
",_29,4,3,1,0,1
,"",_8,4,3,4,0,4
,"",_26,4,4,4,0,4
,"",_42,4,3,4,0,4
,"",_43,4,4,4,0,4
,"",_50,4,2,4,0,4
,"",_51,4,2,4,0,4
,"",_52,4,4,4,0,4
,"",_55,4,4,3,1,4
,"",_91,4,3,4,0,4
,"",_110,4,1,4,0,4
Tamatin Entertainment,"https://genesis.hq.unity3d.com/users/20066259232038/
https://tamat.in/
",_967,3,3,3,0,3
SmartEye,"https://genesis.hq.unity3d.com/organizations/20066208410723/
https://www.smarteye.id/
Plus license
Subsidiary of Telkom
",_366,3,1,2,0,2
Semisoft.co,"https://genesis.hq.unity3d.com/organizations/18966601425910/
https://semisoft.co/
",_513,3,3,2,1,3
Politeknik Negeri Jakarta,"https://genesis.hq.unity3d.com/organizations/18966736221618/
1 pro seat
PK Arduino Uno
",_2626,3,3,3,0,3
Innoveam (Malaysia),"https://genesis.hq.unity3d.com/users/18966600498764/
",_120,3,2,3,0,3
Gaco Games,"",_79,3,3,3,0,3
Alegrium,"https://genesis.hq.unity3d.com/users/1374512676968/
https://www.adexchanger.com/mobile/indie-app-developer-alegrium-teams-up-with-applovins-lion-studios-to-make-its-app-marketing-roar/
Lion Studios (publishing)
",_1794,3,3,1,0,1
,"",_14,3,2,2,0,2
,"",_21,3,3,2,0,2
,"",_28,3,3,3,0,3
,"",_36,3,3,3,0,3
,"",_38,3,2,1,0,1
,"",_39,3,3,3,0,3
,"",_56,3,3,2,0,2
,"",_58,3,2,3,0,3
,"",_61,3,3,3,0,3
,"",_63,3,3,3,0,3
,"",_68,3,3,3,0,3
,"",_69,3,2,3,0,3
,"",_82,3,3,3,0,3
,"",_86,3,3,3,0,3
,"",_90,3,2,3,0,3
,"",_92,3,2,3,0,3
,"",_94,3,3,3,0,3
,"",_96,3,2,3,0,3
,"",_99,3,3,3,0,3
,"",_105,3,2,3,0,3
,"",_108,3,3,3,0,3
,"",_109,3,3,3,0,3
,"",_111,3,3,2,1,3
,"",_113,3,3,3,0,3
,"",_125,3,2,2,1,3
,"",_140,3,3,3,0,3
,"",_150,3,3,2,1,3
,"",_157,3,2,3,0,3
,"",_163,3,3,3,0,3
,"",_275,3,2,3,0,3
,"",_321,3,2,3,0,3
,"",_369,3,1,3,0,3
,"",_418,3,2,3,0,3
,"",_444,3,2,3,0,3
,"",_464,3,2,3,0,3
,"",_470,3,2,2,0,2
,"",_597,3,1,3,0,3
,"",_699,3,1,1,0,1
Telkom University,"",_1919,2,2,1,0,1
Rolling Glory,"https://rollingglory.com/
",_1641,2,2,2,0,2
Arsanesia,"https://genesis.hq.unity3d.com/users/1374539958928/
http://arsanesia.com/
1 Plus license
https://genesis.hq.unity3d.com/organizations/250645/members-groups
",_530,2,2,2,0,2
Anoman Studio,"https://anomanstudio.com/
",_98,2,1,2,0,2
,"",_15,2,1,2,0,2
,"",_17,2,2,0,2,2
,"",_22,2,1,2,0,2
,"",_41,2,1,2,0,2
,"",_45,2,1,2,0,2
,"",_47,2,2,2,0,2
,"",_49,2,1,2,0,2
,"",_62,2,1,2,0,2
,"",_66,2,1,2,0,2
,"",_70,2,2,2,0,2
,"",_76,2,1,2,0,2
,"",_77,2,2,2,0,2
,"",_83,2,2,2,0,2
,"",_87,2,2,2,0,2
,"",_88,2,1,2,0,2
,"",_93,2,2,2,0,2
,"",_95,2,2,2,0,2
,"",_97,2,2,2,0,2
,"",_103,2,2,2,0,2
,"",_104,2,2,2,0,2
,"",_112,2,2,2,0,2
,"",_114,2,2,1,0,1
,"",_116,2,2,2,0,2
,"",_119,2,2,2,0,2
,"",_131,2,2,2,0,2
,"",_134,2,2,2,0,2
,"",_135,2,2,2,0,2
,"",_151,2,2,1,0,1
,"",_155,2,2,2,0,2
,"",_160,2,1,1,1,2
,"",_161,2,1,2,0,2
,"",_165,2,2,2,0,2
,"",_167,2,1,1,0,1
,"",_168,2,2,2,0,2
,"",_170,2,2,1,1,2
,"",_172,2,2,1,1,2
,"",_180,2,2,2,0,2
,"",_185,2,2,2,0,2
,"",_186,2,2,2,0,2
,"",_187,2,2,2,0,2
,"",_190,2,1,2,0,2
,"",_192,2,1,2,0,2
,"",_194,2,2,2,0,2
,"",_201,2,2,2,0,2
,"",_203,2,1,2,0,2
,"",_211,2,2,2,0,2
,"",_215,2,2,2,0,2
,"",_218,2,1,2,0,2
,"",_220,2,2,2,0,2
,"",_225,2,1,2,0,2
,"",_235,2,2,2,0,2
,"",_243,2,2,2,0,2
,"",_248,2,2,2,0,2
,"",_254,2,1,2,0,2
,"",_272,2,2,2,0,2
,"",_273,2,2,1,0,1
,"",_279,2,2,2,0,2
,"",_280,2,2,2,0,2
,"",_282,2,2,2,0,2
,"",_285,2,2,2,0,2
,"",_290,2,1,2,0,2
,"",_292,2,1,2,0,2
,"",_295,2,1,2,0,2
,"",_297,2,2,2,0,2
,"",_303,2,2,2,0,2
,"",_306,2,2,2,0,2
,"",_310,2,2,2,0,2
,"",_314,2,1,2,0,2
,"",_320,2,2,2,0,2
,"",_323,2,2,2,0,2
,"",_324,2,2,2,0,2
,"",_329,2,2,2,0,2
,"",_333,2,2,2,0,2
,"",_334,2,2,2,0,2
,"",_336,2,2,2,0,2
,"",_338,2,2,2,0,2
,"",_345,2,2,2,0,2
,"",_347,2,2,2,0,2
,"",_350,2,2,2,0,2
,"",_351,2,2,2,0,2
,"",_358,2,1,2,0,2
,"",_363,2,2,2,0,2
,"",_364,2,1,2,0,2
,"",_376,2,1,1,0,1
,"",_385,2,1,2,0,2
,"",_395,2,1,2,0,2
,"",_396,2,1,2,0,2
,"",_397,2,2,2,0,2
,"",_404,2,1,2,0,2
,"",_410,2,2,2,0,2
,"",_416,2,2,2,0,2
,"",_417,2,1,2,0,2
,"",_420,2,2,2,0,2
,"",_422,2,2,2,0,2
,"",_425,2,2,2,0,2
,"",_426,2,2,2,0,2
,"",_428,2,2,2,0,2
,"",_429,2,2,2,0,2
,"",_430,2,2,2,0,2
,"",_433,2,2,2,0,2
,"",_435,2,2,2,0,2
,"",_439,2,2,2,0,2
,"",_453,2,1,2,0,2
,"",_461,2,2,2,0,2
,"",_462,2,2,1,1,2
,"",_469,2,2,2,0,2
,"",_471,2,2,2,0,2
,"",_472,2,2,2,0,2
,"",_474,2,1,2,0,2
,"",_477,2,2,2,0,2
,"",_478,2,2,2,0,2
,"",_479,2,2,2,0,2
,"",_480,2,2,2,0,2
,"",_484,2,2,2,0,2
,"",_485,2,2,2,0,2
,"",_491,2,1,2,0,2
,"",_492,2,2,2,0,2
,"",_495,2,1,2,0,2
,"",_497,2,1,2,0,2
,"",_502,2,1,0,0,0
,"",_506,2,1,2,0,2
,"",_508,2,1,2,0,2
,"",_509,2,1,2,0,2
,"",_515,2,1,2,0,2
,"",_517,2,1,2,0,2
,"",_531,2,1,2,0,2
,"",_533,2,2,2,0,2
,"",_535,2,2,1,1,2
,"",_541,2,1,2,0,2
,"",_552,2,1,2,0,2
,"",_553,2,2,2,0,2
,"",_554,2,2,2,0,2
,"",_557,2,1,2,0,2
,"",_564,2,2,2,0,2
,"",_565,2,1,2,0,2
,"",_569,2,2,2,0,2
,"",_572,2,1,2,0,2
,"",_577,2,1,2,0,2
,"",_578,2,2,2,0,2
,"",_601,2,1,0,0,0
,"",_605,2,1,2,0,2
,"",_608,2,1,2,0,2
,"",_610,2,1,2,0,2
,"",_612,2,2,2,0,2
,"",_618,2,2,2,0,2
,"",_620,2,2,2,0,2
,"",_622,2,2,2,0,2
,"",_633,2,2,2,0,2
,"",_636,2,2,2,0,2
,"",_637,2,2,2,0,2
,"",_641,2,2,2,0,2
,"",_642,2,2,2,0,2
