Name,Description,Combined Group,Unique Machines,Unique UserID, Count F,Count H,EULA Machines
,"",_464,22,1,19,0,19
,"",_83,21,2,15,0,15
,"",_5,17,12,4,0,4
,"",_2,15,15,7,0,7
,"",_1,14,12,10,0,10
,"",_3,14,14,4,0,4
,"",_4,13,13,3,0,3
,"",_12,13,3,8,0,8
,"",_6,11,10,6,0,6
,"",_386,11,2,8,0,8
,"",_10,9,9,2,0,2
,"",_13,9,9,2,0,2
,"",_34,9,3,1,7,8
,"",_64,9,2,8,0,8
,"",_204,9,1,8,0,8
,"",_222,9,2,9,0,9
,"",_7,8,7,5,0,5
,"",_9,8,7,0,0,0
,"",_45,8,2,2,0,2
,"",_145,8,4,8,0,8
,"",_159,8,2,4,1,5
,"",_388,8,2,6,0,6
,"",_1713,8,1,2,0,2
,"",_8,7,5,7,0,7
,"",_11,7,2,7,0,7
,"",_15,7,1,7,0,7
,"",_19,7,5,5,0,5
,"",_160,7,1,4,0,4
,"",_16,6,5,1,0,1
,"",_32,6,5,6,0,6
,"",_113,6,4,0,0,0
,"",_452,6,3,4,0,4
,"",_715,6,1,6,0,6
,"",_26,5,6,2,0,2
,"",_38,5,2,5,0,5
,"",_51,5,4,3,0,3
,"",_88,5,2,5,0,5
,"",_92,5,3,3,0,3
,"",_107,5,3,3,0,3
,"",_132,5,4,4,0,4
,"",_225,5,2,5,0,5
,"",_235,5,1,0,3,3
,"",_347,5,3,5,0,5
,"",_402,5,3,4,0,4
,"",_422,5,3,2,3,5
,"",_14,4,2,3,0,3
,"",_17,4,1,1,0,1
,"",_24,4,4,4,0,4
,"",_27,4,1,2,0,2
,"",_37,4,1,4,0,4
,"",_48,4,2,4,0,4
,"",_50,4,3,4,0,4
,"",_72,4,2,4,0,4
,"",_84,4,1,3,0,3
,"",_108,4,2,3,1,4
,"",_110,4,1,4,0,4
,"",_111,4,3,3,0,3
,"",_112,4,3,1,0,1
,"",_121,4,2,1,0,1
,"",_129,4,4,0,0,0
,"",_130,4,4,0,0,0
,"",_135,4,3,4,0,4
,"",_149,4,3,1,0,1
,"",_155,4,4,1,0,1
,"",_188,4,2,0,0,0
,"",_227,4,2,4,0,4
,"",_242,4,3,2,0,2
,"",_251,4,1,2,0,2
,"",_264,4,2,4,0,4
,"",_288,4,1,2,0,2
,"",_304,4,3,4,0,4
,"",_308,4,2,2,2,4
,"",_367,4,2,4,0,4
,"",_406,4,2,4,0,4
,"",_439,4,3,4,0,4
,"",_593,4,2,1,1,2
,"",_683,4,2,3,0,3
,"",_1126,4,1,2,0,2
,"",_1154,4,2,4,0,4
,"",_1222,4,1,4,0,4
,"",_1451,4,2,1,0,1
,"",_1956,4,1,4,0,4
,"",_1966,4,1,4,0,4
,"",_1975,4,2,2,0,2
,"",_2228,4,2,4,0,4
,"",_3700,4,1,2,0,2
,"",_5406,4,1,2,0,2
,"",_18,3,4,2,0,2
,"",_23,3,1,1,0,1
,"",_28,3,3,3,0,3
,"",_39,3,3,3,0,3
,"",_42,3,3,2,1,3
,"",_44,3,3,3,0,3
,"",_52,3,3,1,2,3
,"",_53,3,2,2,0,2
,"",_57,3,2,2,0,2
,"",_58,3,3,2,0,2
,"",_61,3,3,3,0,3
,"",_70,3,2,1,0,1
,"",_71,3,2,2,0,2
,"",_75,3,3,3,0,3
,"",_77,3,3,3,0,3
,"",_86,3,3,2,1,3
,"",_93,3,2,3,0,3
,"",_114,3,3,2,1,3
,"",_117,3,3,3,0,3
,"",_118,3,1,3,0,3
,"",_123,3,3,3,0,3
,"",_124,3,2,2,0,2
,"",_141,3,3,3,0,3
,"",_144,3,2,3,0,3
,"",_148,3,2,2,0,2
,"",_165,3,1,3,0,3
,"",_166,3,3,3,0,3
,"",_170,3,1,2,0,2
,"",_207,3,2,3,0,3
,"",_209,3,3,2,0,2
,"",_215,3,1,3,0,3
,"",_220,3,2,1,2,3
,"",_228,3,2,1,0,1
,"",_247,3,3,3,0,3
,"",_270,3,3,3,0,3
,"",_273,3,2,3,0,3
,"",_280,3,2,2,0,2
,"",_293,3,3,3,0,3
,"",_301,3,2,1,0,1
,"",_315,3,2,1,0,1
,"",_328,3,3,0,0,0
,"",_329,3,3,2,0,2
,"",_368,3,2,3,0,3
,"",_400,3,2,3,0,3
,"",_404,3,2,3,0,3
