Name,Description,Combined Group,Unique Machines,Unique UserID, Count F,Count H,EULA Machines
,"",_1,102,70,98,4,102
Universiti Teknikal Malaysia Melaka,"",_2,90,79,90,0,90
Pitrees Sdn Bhd,"",_6,40,33,39,0,39
,"",_4,37,28,37,0,37
,"",_3,33,31,32,1,33
Yeayyy.com,"https://genesis.hq.unity3d.com/organizations/14568544366986/
",_36,32,31,31,0,31
Universiti Kebangsaan Malaysia,"",_15,26,24,26,0,26
Johaness Reuben,"NightMorning Studios
Weyrdworks Productions Sdn Bhd
AppAsia Studio Sdn Bhd
Bittergourd Games
Kaigan Games
",_10,21,19,19,0,19
,"",_11,21,21,21,0,21
Leapmotion projects,"",_19,20,20,20,0,20
KDK Games,"https://genesis.hq.unity3d.com/users/5430658/
",_17,18,5,17,0,17
Lemon Sky Studios,"",_13,17,17,17,0,17
Teralogic Malaysia,"https://www.teralogic.com.my/
",_18,16,2,16,0,16
,"",_20,14,12,13,1,14
,"",_21,13,13,13,0,13
OY Games / Xhinobi,"https://genesis.hq.unity3d.com/organizations/18966593005423/
https://genesis.hq.unity3d.com/organizations/18966690862780/
",_16,12,11,11,1,12
FrameMotion Studio,"https://genesis.hq.unity3d.com/users/1374094/
",_8,12,4,11,1,12
,"",_14,12,12,11,1,12
,"",_28,12,10,10,0,10
,"",_34,12,8,12,0,12
,"",_27,11,10,11,0,11
,"",_31,11,9,11,0,11
,"",_35,11,8,11,0,11
,"",_5,10,9,10,0,10
UOW Malaysia KDU University College,"",_40,9,9,9,0,9
Magic Mirror / Nursery Webcam,"",_47,9,8,9,0,9
Kurechii,"https://genesis.hq.unity3d.com/users/18966805858170/
",_33,9,9,6,0,6
,"",_22,9,9,8,1,9
,"",_26,9,9,9,0,9
,"",_29,9,9,7,1,8
,"",_44,9,8,9,0,9
,"",_45,9,6,9,0,9
,"",_54,9,7,9,0,9
Enidea Sdn Bhd / Forust Studio,"https://genesis.hq.unity3d.com/users/22088/
",_100,8,7,8,0,8
