Name,Description,Combined Group,Unique Machines,Unique UserID, Count F,Count H,EULA Machines
,"",_1,12,9,1,0,1
,"",_3,5,1,3,0,3
,"",_2,4,2,4,0,4
,"",_11,4,3,0,0,0
,"",_17,3,2,1,0,1
,"",_18,3,3,3,0,3
,"",_30,3,2,3,0,3
,"",_55,3,1,3,0,3
,"",_70,3,3,3,0,3
,"",_6,2,2,1,0,1
,"",_8,2,1,2,0,2
,"",_9,2,2,2,0,2
,"",_12,2,2,1,0,1
,"",_13,2,1,1,0,1
,"",_14,2,2,2,0,2
,"",_15,2,1,2,0,2
,"",_16,2,1,0,0,0
,"",_21,2,1,2,0,2
,"",_22,2,1,2,0,2
,"",_25,2,1,1,0,1
,"",_32,2,1,1,1,2
,"",_33,2,2,1,0,1
,"",_34,2,2,2,0,2
,"",_37,2,2,1,1,2
,"",_39,2,2,2,0,2
,"",_40,2,2,2,0,2
,"",_41,2,1,1,0,1
,"",_42,2,1,2,0,2
,"",_45,2,2,2,0,2
,"",_46,2,1,0,0,0
,"",_51,2,2,2,0,2
,"",_52,2,1,2,0,2
,"",_56,2,2,2,0,2
,"",_60,2,1,2,0,2
,"",_61,2,2,2,0,2
,"",_66,2,1,2,0,2
,"",_68,2,1,2,0,2
,"",_71,2,1,2,0,2
,"",_72,2,2,2,0,2
,"",_76,2,2,2,0,2
,"",_80,2,1,2,0,2
,"",_81,2,1,2,0,2
,"",_82,2,2,2,0,2
,"",_92,2,1,2,0,2
,"",_93,2,2,2,0,2
,"",_97,2,1,0,0,0
,"",_102,2,1,2,0,2
,"",_104,2,1,2,0,2
,"",_110,2,1,2,0,2
,"",_120,2,1,2,0,2
,"",_124,2,1,1,0,1
,"",_130,2,1,2,0,2
,"",_134,2,2,1,1,2
,"",_146,2,2,1,0,1
,"",_147,2,1,2,0,2
,"",_161,2,2,2,0,2
,"",_162,2,1,2,0,2
,"",_165,2,2,2,0,2
,"",_166,2,2,0,0,0
,"",_171,2,1,2,0,2
,"",_173,2,2,1,0,1
,"",_175,2,2,2,0,2
,"",_179,2,1,2,0,2
,"",_187,2,1,2,0,2
,"",_192,2,1,2,0,2
,"",_193,2,2,1,0,1
,"",_195,2,1,2,0,2
,"",_197,2,2,2,0,2
,"",_204,2,1,2,0,2
,"",_212,2,1,0,0,0
,"",_215,2,1,2,0,2
,"",_219,2,2,2,0,2
,"",_221,2,1,2,0,2
,"",_222,2,1,2,0,2
,"",_227,2,1,2,0,2
,"",_232,2,1,2,0,2
,"",_235,2,1,2,0,2
,"",_237,2,2,2,0,2
,"",_238,2,2,1,0,1
,"",_239,2,1,2,0,2
