Name,Description,Combined Group,Unique Machines,Unique UserID, Count F,Count H,EULA Machines
CN user group 1,"http://www.c4games.com/index.html
https://babeltime.com/
",_1,119,111,79,21,100
,"",_2,70,70,58,12,70
Anino.co,"",_26,17,17,7,3,10
,"",_3,17,14,14,0,14
kooapps.com,"",_47,9,9,7,0,7
Benilde College,"",_300,7,3,7,0,7
Imagine Realities Inc,"http://imagine-ar.com/
",_385,6,4,6,0,6
Accenture Philippines,"Cheska M. Princena
Meris Soneja
patricia.c.cabacang@gmail.com
gian.k.l.legaspi@gmail.com        
alfredo.i.r.mercado@gmail.com        
",_306,6,6,4,0,4
YangYang Mobile,"https://www.gdap.org.ph/gdap-member/yangyang-mobile/
",_6,5,3,4,0,4
Fandom,"https://www.gdap.org.ph/gdap-member/fandom-inc/
",_366,5,3,5,0,5
Bitplanet Games,"https://bitplanetgames.com/
",_284,5,5,4,0,4
,"",_5,5,5,5,0,5
,"",_11,5,5,5,0,5
,"",_17,5,4,1,0,1
,"",_906,5,1,5,0,5
Vobling,"",_165,4,4,4,0,4
Secret 6,"https://secret6.com/about/
Part of SF based Studio
Should be on Pro
",_10,4,4,2,0,2
Seaversity,"https://seaversity.com.ph/
",_43,4,4,4,0,4
Ranida Games,"https://www.ranidagames.com/
https://www.gdap.org.ph/gdap-member/ranida-games/
Linked to Gonzo Games
",_75,4,2,4,0,4
Popsicle Games,"http://popsiclegames.com/games/
",_73,4,3,4,0,4
PH user group (probably university),"",_401,4,4,4,0,4
iAcademy,"",_1179,4,4,4,0,4
Global Mobility,"http://www.globalmobility.net/
HQ in Singapore
Serious games for healthcare
3D Vision Technology
https://3dvisiontechnologies.com/
homespace360.com
",_200,4,4,0,0,0
Gamechump,"https://gamechump.itch.io/castlechaos
",_36,4,4,4,0,4
Frecre.com,"https://www.frecre.com/
",_229,4,5,2,0,2
CN user group 4,"",_193,4,2,4,0,4
,"",_7,4,4,4,0,4
,"",_8,4,4,4,0,4
,"",_9,4,4,3,1,4
,"",_24,4,4,4,0,4
,"",_30,4,4,1,0,1
Western Visayas High School,"",_442,3,3,3,0,3
Sprobe Inc,"Should be on Pro
",_83,3,3,3,0,3
Polywick Studio,"https://www.polywickstudio.com/company
Outsourcing firm
Member of GDAP
",_150,3,2,3,0,3
PH user group 3,"",_196,3,3,3,0,3
Kongan Studios,"http://konganstudios.com/
",_52,3,3,3,0,3
HTech Corp,"IT Outsourcing firm
https://www.htechcorp.net/
",_342,3,1,3,0,3
Haraya Labs,"",_58,3,1,3,0,3
Figurama3D,"https://www.figurama3d.com/
",_180,3,3,2,0,2
CN user group 5,"",_45,3,3,0,3,3
Bubble Gum Interactive,"Australia - Philippines
",_231,3,2,1,2,3
,"",_23,3,3,2,1,3
,"",_25,3,2,3,0,3
,"",_31,3,2,3,0,3
,"",_39,3,2,2,0,2
,"",_46,3,3,3,0,3
,"",_60,3,3,3,0,3
,"",_67,3,1,3,0,3
,"",_87,3,3,3,0,3
,"",_89,3,1,3,0,3
Tic Toc Games,"GM Johny Chuaquico
US Game Studio on Pro licenses
",_279,2,2,1,0,1
Technological University of the Philippines,"",_324,2,1,2,0,2
PH user group 2,"",_111,2,2,2,0,2
PH / CN user group,"",_272,2,2,1,1,2
Monstronauts,"https://monstronauts.com/
",_267,2,2,2,0,2
CN user group 3,"",_237,2,2,2,0,2
CIIT Edu,"",_310,2,2,0,0,0
Bille Lagarde,"CIIT College of Arts and Technology
https://www.techfactors.com/
",_364,2,2,2,0,2
,"",_16,2,1,2,0,2
,"",_19,2,2,2,0,2
,"",_21,2,2,2,0,2
,"",_22,2,2,0,0,0
,"",_35,2,1,2,0,2
,"",_40,2,2,2,0,2
,"",_44,2,1,2,0,2
,"",_49,2,1,2,0,2
,"",_54,2,1,2,0,2
,"",_55,2,3,1,1,2
,"",_57,2,2,2,0,2
,"",_59,2,1,2,0,2
,"",_68,2,1,2,0,2
,"",_70,2,2,2,0,2
,"",_71,2,2,1,0,1
,"",_72,2,1,2,0,2
,"",_74,2,1,2,0,2
,"",_78,2,2,2,0,2
,"",_91,2,2,2,0,2
,"",_94,2,2,1,0,1
,"",_100,2,1,2,0,2
,"",_109,2,1,2,0,2
,"",_110,2,1,2,0,2
,"",_115,2,1,2,0,2
,"",_138,2,2,1,0,1
,"",_144,2,2,2,0,2
,"",_157,2,1,0,2,2
,"",_158,2,2,2,0,2
,"",_159,2,2,1,1,2
,"",_161,2,2,2,0,2
,"",_164,2,1,0,2,2
,"",_167,2,2,2,0,2
,"",_171,2,2,1,0,1
,"",_174,2,2,1,1,2
,"",_176,2,2,1,0,1
,"",_179,2,2,2,0,2
,"",_183,2,2,2,0,2
,"",_199,2,1,2,0,2
,"",_214,2,2,2,0,2
,"",_221,2,1,2,0,2
,"",_228,2,1,1,0,1
,"",_232,2,2,2,0,2
,"",_235,2,2,2,0,2
,"",_236,2,1,0,2,2
