Name,Description,Combined Group,Unique Machines,Unique UserID, Count F,Count H,EULA Machines
ABI - Onesoft,"https://genesis.hq.unity3d.com/users/2330878/
 hungtm@onesoft.com.vn
https://genesis.hq.unity3d.com/organizations/18966592459647/
 http://thaidong.com.vn/

",_1,51,35,24,22,46
Gear Inc,"https://genesis.hq.unity3d.com/organizations/2018388/
 https://genesis.hq.unity3d.com/organizations/18966625056278/
https://genesis.hq.unity3d.com/users/4690573/
 https://genesis.hq.unity3d.com/users/18966593843202/
https://genesis.hq.unity3d.com/users/2426110/
 https://genesis.hq.unity3d.com/users/18966715582496/
https://genesis.hq.unity3d.com/organizations/2018388/
 https://genesis.hq.unity3d.com/users/18966717349063/

",_13,38,36,29,4,33
Rocket - Onesoft,"https://genesis.hq.unity3d.com/organizations/17867065208868/
https://genesis.hq.unity3d.com/users/18966755140055/
 https://genesis.hq.unity3d.com/users/18966717410526/
https://genesis.hq.unity3d.com/users/18966793550851/

",_7,29,18,9,20,29
Gameloft,"https://genesis.hq.unity3d.com/organizations/9071028540679/
 https://genesis.hq.unity3d.com/organizations/9071028540679/members-groups

",_12,25,19,13,0,13
Imba Game Studio,"https://genesis.hq.unity3d.com/organizations/786901/
 https://thesugagroup.com/
https://imba.co/

",_6,24,17,22,0,22
iKame,"https://genesis.hq.unity3d.com/organizations/636727/
 https://genesis.hq.unity3d.com/organizations/18966600201681/projects/c8920e89-cbf2-4787-bef6-43d9f2c108a3#members
https://genesis.hq.unity3d.com/users/3795970/
 https://genesis.hq.unity3d.com/organizations/18966600201681/

",_5,23,16,15,8,23
OneTech Asia JSC,"https://genesis.hq.unity3d.com/organizations/18966610878077/
https://genesis.hq.unity3d.com/users/6341275/
 https://onetech.vn/recruit

",_4,22,15,17,0,17
Onesoft - Falcon,"https://genesis.hq.unity3d.com/users/18966595375480/
 https://genesis.hq.unity3d.com/organizations/18966595375483/members-groups
https://genesis.hq.unity3d.com/users/18966691210282/
 https://play.google.com/store/apps/dev?id=7627571908184472902

",_24,21,13,13,7,20
Antada,"",_39,21,16,21,0,21
GoGame,"https://gogame.net/
 https://genesis.hq.unity3d.com/organizations/18966797729143/
https://genesis.hq.unity3d.com/organizations/16767555183560/
 https://genesis.hq.unity3d.com/organizations/18966602244131/

",_19,20,16,15,0,15
VNG,"https://genesis.hq.unity3d.com/organizations/18966653606491/
https://play.google.com/store/apps/dev?id=5261964832059401451
 https://genesis.hq.unity3d.com/organizations/93316/
https://genesis.hq.unity3d.com/organizations/20066132969623/
 https://genesis.hq.unity3d.com/users/20066140312855/
https://genesis.hq.unity3d.com/users/20066132969620/

",_8,19,14,15,4,19
Goodia,"https://genesis.hq.unity3d.com/organizations/2257223/
 https://genesis.hq.unity3d.com/organizations/570784/
http://goodia.co.jp/
 https://genesis.hq.unity3d.com/users/2914396/
 https://genesis.hq.unity3d.com/organizations/1493310/
https://genesis.hq.unity3d.com/organizations/20066131252378/

",_58,19,15,16,2,18
Amanotes,"https://genesis.hq.unity3d.com/users/18966721915092/
 https://genesis.hq.unity3d.com/organizations/3578764/
https://genesis.hq.unity3d.com/organizations/18966700642687/
 https://genesis.hq.unity3d.com/users/18966715382989/

",_243,19,16,11,0,11
CSC Mobi,"",_26,16,9,10,5,15
https://genesis.hq.unity3d.com/organizations/18966779183240/,"https://genesis.hq.unity3d.com/organizations/18966696130162/

",_3,15,11,12,3,15
AltPlus,"https://altplus.com.vn/
 https://genesis.hq.unity3d.com/organizations/165838/
https://genesis.hq.unity3d.com/users/18966732574482/
 https://genesis.hq.unity3d.com/organizations/18966732574487/members-groups
https://genesis.hq.unity3d.com/organizations/18966851933475/members-groups

",_45,15,13,14,1,15
teamobi.vn,"http://teamobi.vn/home/home-page.html
 https://genesis.hq.unity3d.com/organizations/152990/
https://genesis.hq.unity3d.com/users/233464/

",_20,14,9,11,2,13
Kaopiz Software Co Ltd,"Outsourcing company

",_49,13,9,12,0,12
KixEye,"https://genesis.hq.unity3d.com/organizations/86950/
 https://genesis.hq.unity3d.com/users/18966737800202/
https://genesis.hq.unity3d.com/users/4366219/

",_28,12,12,3,0,3
https://fireholderstudio.com/,"https://genesis.hq.unity3d.com/users/18966839267173/
 https://genesis.hq.unity3d.com/organizations/18966839267179/

",_482,12,10,8,3,11
Vkids,"https://play.google.com/store/apps/developer?id=VKids&hl=en
 https://genesis.hq.unity3d.com/users/5469026/
https://vkidsapp.com/

",_16,11,9,8,1,9
The Corgi Team,"https://genesis.hq.unity3d.com/organizations/2044079/
 https://genesis.hq.unity3d.com/organizations/2043853/

",_10,11,8,9,0,9
PeopleSQ,"https://genesis.hq.unity3d.com/organizations/2473944758381/
 http://playboostnow.com/
https://genesis.hq.unity3d.com/users/2473944758377/
 ASNET
 https://genesis.hq.unity3d.com/organizations/10750/
Looks like ASNET is doing outsourcing work for PeopleSQ
 https://genesis.hq.unity3d.com/users/2909886/

",_37,11,9,9,0,9
inwave game studio,"https://genesis.hq.unity3d.com/users/20066127856832/
 https://genesis.hq.unity3d.com/organizations/20066127856835/
https://www.facebook.com/pages/category/Gaming-Video-Creator/Inwave-Studio-889367298089921/
Linked with Amanotes

",_311,11,8,5,5,10
Flow Motion Entertainment,"flowmotionentertainment.com
 https://genesis.hq.unity3d.com/organizations/2486312/
https://genesis.hq.unity3d.com/users/3493108/
 https://genesis.hq.unity3d.com/users/3014296/

",_25,11,8,5,3,8
BraveStars - Zonmob,"https://genesis.hq.unity3d.com/organizations/18966594999013/
https://genesis.hq.unity3d.com/users/18966801388677/
 https://genesis.hq.unity3d.com/users/18966777587490/
https://genesis.hq.unity3d.com/users/18966737903339/
 https://genesis.hq.unity3d.com/users/6605393/
https://genesis.hq.unity3d.com/users/18966775518498/

",_660,11,11,9,1,10
,"",_21,11,7,11,0,11
MINTPOT VINA COMPANY,"https://genesis.hq.unity3d.com/organizations/18966869912995/

",_17,10,6,9,1,10
Mecury Studio,"Game Studio / Oursourcing
 Hiring Unity devs
 https://genesis.hq.unity3d.com/organizations/577017/
https://genesis.hq.unity3d.com/users/3560761/

",_31,10,9,7,0,7
GIANTY Inc - GNT VN,"https://genesis.hq.unity3d.com/organizations/18966672819082/
https://genesis.hq.unity3d.com/organizations/18966672819082/members-groups
https://genesis.hq.unity3d.com/users/1784339/

",_119,10,7,9,0,9
Athena,"https://genesis.hq.unity3d.com/organizations/1374429426877/
 https://genesis.hq.unity3d.com/organizations/18966766433521/
https://genesis.hq.unity3d.com/organizations/18966733399785/
 https://genesis.hq.unity3d.com/organizations/18966653466577/
https://genesis.hq.unity3d.com/users/1374429426874/

",_132,10,9,7,2,9
Asean Fan - Grateful Days,"http://aseanfan.com/
 https://genesis.hq.unity3d.com/organizations/307628/
https://genesis.hq.unity3d.com/users/85629/
 https://genesis.hq.unity3d.com/users/2128211/
https://genesis.hq.unity3d.com/users/18966770312613/

",_130,10,8,8,2,10
Zitga,"https://genesis.hq.unity3d.com/organizations/3606368/
 https://genesis.hq.unity3d.com/users/5701336/

",_88,9,9,7,2,9
Simulation.vn,"",_11,9,9,9,0,9
SGLib games,"https://genesis.hq.unity3d.com/users/1374437212999/
 https://genesis.hq.unity3d.com/organizations/1143152/
https://genesis.hq.unity3d.com/organizations/18966594458917/

",_30,9,6,9,0,9
Punch Entertainment,"Punch.vn
 https://genesis.hq.unity3d.com/organizations/18966598966767/
https://genesis.hq.unity3d.com/users/18966845990896/
 https://genesis.hq.unity3d.com/users/18966864718842/
Sun Monkey Studio
 https://genesis.hq.unity3d.com/organizations/18966593979293/
Looks like a dev that is working at Punch also own a separate business
 https://genesis.hq.unity3d.com/users/18966593979290/

",_68,9,6,4,5,9
Le Quy Don University,"https://genesis.hq.unity3d.com/organizations/18966799119428/
https://genesis.hq.unity3d.com/organizations/3076357/

",_47,9,7,6,3,9
ftech.ai,"https://genesis.hq.unity3d.com/organizations/2151846/ https://genesis.hq.unity3d.com/users/4793388/

",_18,9,7,8,0,8
Dai Hoc Da Lat,"Nicolas working place
 http://dlu.edu.vn/
 https://genesis.hq.unity3d.com/users/18966865446740/

",_260,9,8,8,0,8
BBGames Studio,"https://genesis.hq.unity3d.com/users/5089087/
 https://genesis.hq.unity3d.com/organizations/2591852/
https://genesis.hq.unity3d.com/users/18966711899545/

",_15,9,7,8,0,8
Rollbox Studio,"https://genesis.hq.unity3d.com/organizations/1374448055350/

",_22,8,6,8,0,8
IMOSYS - Onesoft,"https://imosys.net/
 https://genesis.hq.unity3d.com/users/18966758539923/
https://genesis.hq.unity3d.com/users/18966864761646/

",_78,8,7,3,5,8
Fitin,"https://genesis.hq.unity3d.com/users/18966858018930/
 https://genesis.hq.unity3d.com/organizations/18966858018935/
https://genesis.hq.unity3d.com/organizations/126509/
 https://genesis.hq.unity3d.com/users/454657/
dung.dinh.nguyen@fitin.vn

",_56,8,7,5,3,8
https://cubicegg.asia/en/portfolio_en/,"",_29,7,6,6,0,6
BAP Software,"https://bap-software.net/en/
 https://genesis.hq.unity3d.com/organizations/4113619/
https://genesis.hq.unity3d.com/users/6190043/

",_142,7,5,5,0,5
,"",_40,7,4,5,0,5
,"",_74,7,4,7,0,7
,"",_117,7,4,7,0,7
Topebox,"https://genesis.hq.unity3d.com/organizations/2182327/
 https://genesis.hq.unity3d.com/organizations/18966796068481/
https://genesis.hq.unity3d.com/organizations/2182307/
 https://genesis.hq.unity3d.com/organizations/18966802506978/

",_131,6,5,5,0,5
PortCoast,"https://genesis.hq.unity3d.com/organizations/18966781379716/
https://genesis.hq.unity3d.com/users/18966781379710/

",_9,6,4,4,0,4
,"",_14,6,4,4,1,5
,"",_38,6,4,6,0,6
,"",_42,6,5,4,2,6
,"",_52,6,5,6,0,6
,"",_80,6,1,6,0,6
,"",_89,6,3,4,0,4
,"",_115,6,3,6,0,6
,"",_150,6,1,5,0,5
Kien Giang College,"http://www.kgc.edu.vn/
 https://genesis.hq.unity3d.com/users/18966860832420/
https://genesis.hq.unity3d.com/users/18966782490723/
 https://genesis.hq.unity3d.com/users/18966724251809/
https://genesis.hq.unity3d.com/users/18966860878757/
 https://genesis.hq.unity3d.com/users/18966860845704/

",_705,5,5,5,0,5
,"",_23,5,4,4,1,5
,"",_27,5,4,3,0,3
,"",_32,5,3,1,0,1
,"",_41,5,3,4,0,4
,"",_43,5,4,5,0,5
,"",_73,5,3,4,0,4
,"",_76,5,2,0,5,5
,"",_97,5,3,0,5,5
,"",_104,5,3,3,0,3
,"",_105,5,2,0,5,5
,"",_109,5,4,5,0,5
,"",_125,5,1,5,0,5
,"",_141,5,3,5,0,5
,"",_162,5,3,2,3,5
Veldis Experience,"",_66,4,2,0,1,1
Hiker Games,"https://genesis.hq.unity3d.com/users/712131/
 https://genesis.hq.unity3d.com/organizations/412949/
https://genesis.hq.unity3d.com/organizations/2588527/
 https://genesis.hq.unity3d.com/organizations/4442783/

",_99,4,3,1,0,1
Grep Game,"https://grepgame.com/
 https://genesis.hq.unity3d.com/users/18966712182958/
https://genesis.hq.unity3d.com/users/4134640/

",_157,4,4,4,0,4
,"",_33,4,2,4,0,4
,"",_53,4,2,1,3,4
,"",_75,4,1,4,0,4
,"",_108,4,3,3,1,4
,"",_113,4,3,4,0,4
,"",_116,4,4,3,1,4
,"",_124,4,3,4,0,4
,"",_152,4,2,4,0,4
,"",_168,4,3,4,0,4
,"",_192,4,3,4,0,4
,"",_206,4,3,4,0,4
,"",_216,4,2,2,0,2
,"",_218,4,3,4,0,4
,"",_421,4,1,4,0,4
,"",_475,4,2,3,1,4
Weegoon,"https://genesis.hq.unity3d.com/organizations/18966727616399/
https://genesis.hq.unity3d.com/users/18966768809198/
 https://genesis.hq.unity3d.com/users/18966727616394/

",_1311,3,3,2,1,3
Caerux,"http://www.caerux.com/
 https://genesis.hq.unity3d.com/organizations/1380658/
https://genesis.hq.unity3d.com/users/708497/

",_48,3,2,3,0,3
,"",_55,3,2,1,0,1
,"",_65,3,3,3,0,3
,"",_79,3,1,3,0,3
,"",_81,3,1,3,0,3
,"",_87,3,1,3,0,3
,"",_93,3,1,3,0,3
,"",_100,3,1,1,0,1
,"",_103,3,3,2,0,2
,"",_114,3,1,3,0,3
,"",_123,3,1,3,0,3
,"",_133,3,2,2,0,2
,"",_135,3,1,2,1,3
,"",_136,3,2,2,0,2
,"",_143,3,3,3,0,3
,"",_156,3,3,3,0,3
,"",_159,3,2,2,0,2
,"",_176,3,2,3,0,3
,"",_185,3,3,3,0,3
,"",_188,3,2,2,1,3
,"",_189,3,3,3,0,3
,"",_197,3,2,2,1,3
,"",_211,3,1,0,3,3
,"",_223,3,3,3,0,3
,"",_228,3,2,3,0,3
,"",_231,3,3,2,1,3
,"",_235,3,1,2,1,3
,"",_236,3,1,3,0,3
,"",_237,3,3,1,2,3
,"",_241,3,2,3,0,3
,"",_244,3,3,3,0,3
,"",_249,3,2,2,0,2
,"",_251,3,2,3,0,3
,"",_259,3,1,3,0,3
,"",_266,3,2,2,0,2
,"",_279,3,1,3,0,3
,"",_310,3,1,3,0,3
,"",_314,3,2,1,0,1
,"",_357,3,1,3,0,3
,"",_359,3,1,3,0,3
,"",_363,3,2,1,2,3
,"",_368,3,2,1,0,1
,"",_441,3,1,2,1,3
,"",_572,3,2,3,0,3
,"",_584,3,2,3,0,3
,"",_585,3,1,3,0,3
,"",_609,3,2,2,1,3
,"",_641,3,2,3,0,3
,"",_662,3,1,1,0,1
,"",_688,3,2,0,0,0
,"",_699,3,1,3,0,3
,"",_773,3,1,3,0,3
,"",_1283,3,1,3,0,3
No Power Up,"https://genesis.hq.unity3d.com/organizations/2383068/
 https://genesis.hq.unity3d.com/organizations/2383053/
https://ptt-solution.com/contact-us
 https://genesis.hq.unity3d.com/users/4952020/
https://genesis.hq.unity3d.com/organizations/18966635591314/
 https://genesis.hq.unity3d.com/users/18966635591310/

",_1473,2,2,2,0,2
,"",_44,2,2,0,2,2
,"",_46,2,1,0,2,2
,"",_51,2,2,2,0,2
,"",_61,2,1,1,1,2
