Name,Description,Combined Group,Unique Machines,Unique UserID, Count F,Count H,EULA Machines
,"",_1,24,23,23,1,24
,"",_2,23,20,22,0,22
,"",_3,21,20,21,0,21
,"",_8,20,14,20,0,20
,"",_5,17,11,17,0,17
,"",_6,15,17,15,0,15
,"",_11,15,12,15,0,15
,"",_7,14,10,12,0,12
,"",_4,13,9,13,0,13
,"",_10,13,8,1,0,1
,"",_30,12,7,12,0,12
,"",_21,11,5,10,0,10
,"",_31,11,7,11,0,11
,"",_33,11,8,11,0,11
,"",_13,10,5,7,0,7
,"",_15,10,9,6,4,10
,"",_16,10,10,10,0,10
,"",_19,10,10,4,6,10
,"",_29,10,5,9,0,9
,"",_17,9,8,9,0,9
,"",_14,8,5,7,0,7
,"",_20,8,2,6,0,6
,"",_22,8,7,3,0,3
,"",_23,8,8,8,0,8
,"",_32,8,6,8,0,8
,"",_39,8,7,7,1,8
,"",_18,7,8,7,0,7
,"",_25,7,6,7,0,7
,"",_34,7,7,6,1,7
,"",_56,7,4,5,0,5
,"",_98,7,2,5,0,5
,"",_24,6,5,5,0,5
,"",_28,6,6,6,0,6
,"",_38,6,6,4,0,4
,"",_41,6,6,6,0,6
,"",_66,6,2,3,0,3
,"",_74,6,5,2,0,2
,"",_106,6,4,6,0,6
,"",_36,5,5,5,0,5
,"",_40,5,2,5,0,5
,"",_42,5,1,3,0,3
,"",_47,5,4,5,0,5
,"",_49,5,2,5,0,5
,"",_50,5,5,5,0,5
,"",_51,5,5,5,0,5
,"",_53,5,4,5,0,5
,"",_54,5,5,5,0,5
,"",_55,5,5,5,0,5
,"",_57,5,5,5,0,5
,"",_58,5,3,5,0,5
,"",_60,5,5,5,0,5
,"",_73,5,4,5,0,5
,"",_104,5,4,4,0,4
,"",_149,5,3,5,0,5
,"",_150,5,3,5,0,5
,"",_168,5,1,5,0,5
,"",_176,5,2,5,0,5
,"",_992,5,1,5,0,5
,"",_27,4,4,4,0,4
,"",_35,4,2,3,0,3
,"",_44,4,3,3,0,3
,"",_59,4,3,3,0,3
,"",_61,4,3,4,0,4
,"",_69,4,4,4,0,4
,"",_71,4,4,4,0,4
,"",_77,4,3,4,0,4
,"",_81,4,4,4,0,4
,"",_85,4,4,4,0,4
,"",_91,4,4,3,0,3
,"",_94,4,1,4,0,4
,"",_96,4,2,2,0,2
,"",_99,4,4,1,0,1
,"",_113,4,3,3,0,3
,"",_114,4,1,4,0,4
,"",_137,4,2,3,0,3
,"",_156,4,2,4,0,4
,"",_171,4,2,3,0,3
,"",_180,4,1,3,0,3
,"",_457,4,1,4,0,4
,"",_518,4,1,4,0,4
,"",_9,3,3,3,0,3
,"",_43,3,1,3,0,3
,"",_46,3,3,3,0,3
,"",_48,3,3,2,0,2
,"",_63,3,2,1,0,1
,"",_68,3,3,3,0,3
,"",_72,3,2,3,0,3
,"",_75,3,2,3,0,3
,"",_80,3,3,3,0,3
,"",_83,3,3,0,3,3
,"",_84,3,3,3,0,3
,"",_86,3,3,3,0,3
,"",_90,3,2,3,0,3
,"",_95,3,3,3,0,3
,"",_105,3,2,3,0,3
,"",_117,3,1,2,0,2
,"",_127,3,3,3,0,3
,"",_128,3,2,3,0,3
,"",_134,3,3,3,0,3
,"",_145,3,3,3,0,3
,"",_146,3,3,3,0,3
,"",_148,3,3,3,0,3
,"",_154,3,2,2,0,2
,"",_163,3,3,2,0,2
,"",_164,3,1,3,0,3
,"",_166,3,3,3,0,3
,"",_169,3,3,3,0,3
,"",_172,3,2,3,0,3
,"",_173,3,1,2,0,2
,"",_174,3,3,3,0,3
,"",_178,3,2,3,0,3
,"",_184,3,3,3,0,3
,"",_188,3,2,1,0,1
,"",_191,3,3,3,0,3
,"",_202,3,2,3,0,3
,"",_225,3,1,3,0,3
,"",_235,3,2,3,0,3
,"",_238,3,1,3,0,3
,"",_273,3,2,1,0,1
,"",_284,3,1,3,0,3
,"",_290,3,2,3,0,3
,"",_306,3,2,3,0,3
,"",_309,3,2,3,0,3
,"",_339,3,2,3,0,3
,"",_348,3,1,3,0,3
,"",_395,3,2,3,0,3
,"",_458,3,2,3,0,3
,"",_477,3,2,3,0,3
,"",_533,3,2,3,0,3
,"",_580,3,1,3,0,3
,"",_586,3,2,2,0,2
,"",_632,3,2,3,0,3
,"",_658,3,2,3,0,3
,"",_664,3,2,3,0,3
,"",_1683,3,1,2,1,3
,"",_12,2,2,2,0,2
,"",_26,2,1,1,0,1
,"",_37,2,2,2,0,2
,"",_70,2,2,2,0,2
,"",_76,2,2,2,0,2
,"",_78,2,2,2,0,2
,"",_89,2,1,2,0,2
,"",_97,2,2,2,0,2
,"",_100,2,2,2,0,2
,"",_102,2,2,1,0,1
,"",_108,2,2,2,0,2
,"",_111,2,1,2,0,2
,"",_116,2,2,1,0,1
,"",_121,2,2,2,0,2
,"",_129,2,2,2,0,2
,"",_131,2,2,2,0,2
,"",_135,2,2,2,0,2
,"",_136,2,1,2,0,2
,"",_140,2,2,2,0,2
,"",_141,2,3,2,0,2
,"",_147,2,2,2,0,2
,"",_155,2,1,2,0,2
,"",_157,2,1,2,0,2
,"",_165,2,2,2,0,2
,"",_167,2,3,2,0,2
,"",_170,2,2,2,0,2
,"",_179,2,2,2,0,2
,"",_185,2,1,2,0,2
,"",_186,2,2,2,0,2
,"",_190,2,2,2,0,2
,"",_198,2,2,2,0,2
,"",_199,2,2,2,0,2
,"",_200,2,2,2,0,2
,"",_201,2,1,2,0,2
,"",_204,2,2,2,0,2
,"",_205,2,1,2,0,2
,"",_206,2,1,1,0,1
,"",_212,2,1,2,0,2
,"",_213,2,2,2,0,2
,"",_214,2,2,2,0,2
,"",_219,2,1,2,0,2
,"",_221,2,2,2,0,2
,"",_222,2,1,2,0,2
,"",_227,2,1,2,0,2
,"",_231,2,1,2,0,2
,"",_233,2,2,1,0,1
,"",_236,2,1,2,0,2
,"",_241,2,2,2,0,2
,"",_245,2,1,2,0,2
,"",_250,2,1,2,0,2
,"",_254,2,1,2,0,2
,"",_256,2,2,2,0,2
,"",_259,2,2,2,0,2
,"",_260,2,2,2,0,2
,"",_263,2,1,2,0,2
,"",_265,2,2,2,0,2
,"",_269,2,2,2,0,2
,"",_280,2,2,2,0,2
,"",_287,2,2,2,0,2
,"",_288,2,2,2,0,2
,"",_301,2,2,2,0,2
,"",_303,2,2,2,0,2
,"",_305,2,2,2,0,2
,"",_311,2,2,2,0,2
,"",_314,2,1,2,0,2
,"",_315,2,2,2,0,2
,"",_316,2,1,2,0,2
,"",_322,2,2,2,0,2
,"",_325,2,1,2,0,2
,"",_328,2,2,2,0,2
,"",_335,2,2,2,0,2
,"",_340,2,1,2,0,2
,"",_341,2,1,2,0,2
,"",_342,2,2,2,0,2
,"",_344,2,1,1,0,1
,"",_347,2,1,2,0,2
,"",_350,2,2,2,0,2
,"",_358,2,2,2,0,2
,"",_359,2,2,2,0,2
,"",_364,2,2,2,0,2
,"",_365,2,2,2,0,2
,"",_366,2,2,0,2,2
,"",_367,2,2,0,2,2
,"",_371,2,2,2,0,2
,"",_375,2,2,2,0,2
,"",_376,2,1,0,0,0
,"",_378,2,2,2,0,2
,"",_381,2,2,2,0,2
,"",_384,2,2,2,0,2
,"",_385,2,1,2,0,2
,"",_386,2,2,2,0,2
,"",_389,2,2,2,0,2
,"",_390,2,1,2,0,2
,"",_394,2,2,2,0,2
,"",_396,2,2,2,0,2
,"",_398,2,1,2,0,2
,"",_400,2,2,2,0,2
,"",_407,2,1,2,0,2
,"",_413,2,1,2,0,2
,"",_417,2,2,1,0,1
,"",_422,2,2,2,0,2
,"",_426,2,1,2,0,2
,"",_427,2,2,2,0,2
,"",_430,2,2,2,0,2
,"",_440,2,2,2,0,2
,"",_446,2,2,2,0,2
,"",_447,2,2,2,0,2
,"",_450,2,2,2,0,2
,"",_459,2,2,2,0,2
,"",_463,2,2,2,0,2
,"",_469,2,2,2,0,2
,"",_474,2,2,2,0,2
,"",_476,2,2,2,0,2
,"",_480,2,1,1,1,2
,"",_483,2,2,2,0,2
,"",_484,2,2,2,0,2
,"",_486,2,2,2,0,2
,"",_488,2,2,2,0,2
,"",_495,2,2,2,0,2
,"",_497,2,1,2,0,2
,"",_504,2,1,2,0,2
,"",_510,2,2,2,0,2
,"",_512,2,2,2,0,2
,"",_514,2,1,2,0,2
,"",_516,2,2,2,0,2
,"",_519,2,2,2,0,2
,"",_529,2,1,2,0,2
,"",_531,2,1,2,0,2
,"",_541,2,2,1,0,1
,"",_542,2,2,2,0,2
,"",_543,2,1,2,0,2
,"",_545,2,2,2,0,2
,"",_546,2,1,2,0,2
,"",_551,2,1,2,0,2
,"",_559,2,1,2,0,2
