Name,Description,Combined Group,Unique Machines,Unique UserID, Count F,Count H,EULA Machines
,"",_1,187,162,159,20,179
,"",_2,74,72,30,39,69
,"",_3,49,41,39,3,42
,"",_22,44,25,43,1,44
,"",_4,39,38,23,7,30
,"",_5,38,33,19,3,22
,"",_6,35,34,25,1,26
,"",_8,32,28,23,2,25
,"",_20,31,26,28,1,29
,"",_13,29,27,15,0,15
,"",_21,27,21,25,0,25
,"",_11,25,24,21,1,22
,"",_7,24,23,11,0,11
,"",_10,24,23,17,1,18
,"",_26,23,17,23,0,23
,"",_23,22,15,22,0,22
,"",_24,20,19,20,0,20
,"",_25,19,17,19,0,19
,"",_27,16,16,0,0,0
,"",_12,15,15,7,2,9
,"",_29,14,13,14,0,14
,"",_9,13,13,9,0,9
,"",_14,13,11,4,0,4
,"",_17,13,13,9,0,9
,"",_30,13,12,12,1,13
,"",_31,13,13,12,0,12
,"",_34,13,13,2,0,2
,"",_39,12,11,12,0,12
,"",_33,11,10,10,0,10
,"",_37,11,11,11,0,11
,"",_15,10,10,4,2,6
,"",_19,10,11,7,2,9
,"",_44,10,10,7,0,7
,"",_16,9,8,7,1,8
,"",_35,9,7,6,0,6
,"",_40,9,6,6,2,8
,"",_41,9,9,9,0,9
,"",_47,9,8,8,0,8
,"",_49,9,8,9,0,9
,"",_52,9,9,0,0,0
,"",_104,9,3,3,0,3
,"",_38,8,6,5,0,5
,"",_36,7,3,3,0,3
,"",_57,7,6,7,0,7
,"",_18,6,6,5,0,5
,"",_43,6,6,1,0,1
,"",_45,6,6,5,0,5
,"",_48,6,5,2,0,2
,"",_53,6,4,6,0,6
,"",_54,6,5,5,0,5
,"",_59,6,5,4,0,4
,"",_62,6,5,4,0,4
,"",_63,6,5,5,0,5
,"",_70,6,3,5,0,5
,"",_81,6,5,6,0,6
,"",_50,5,5,5,0,5
,"",_55,5,5,0,0,0
,"",_61,5,4,0,0,0
,"",_65,5,4,4,0,4
,"",_66,5,3,1,0,1
,"",_75,5,5,5,0,5
,"",_80,5,5,4,1,5
,"",_96,5,4,5,0,5
,"",_100,5,4,5,0,5
,"",_111,5,4,5,0,5
,"",_28,4,3,4,0,4
,"",_58,4,3,4,0,4
,"",_64,4,3,2,0,2
,"",_69,4,4,4,0,4
,"",_76,4,4,4,0,4
,"",_85,4,4,1,0,1
,"",_86,4,4,2,0,2
,"",_87,4,1,4,0,4
,"",_89,4,4,2,0,2
,"",_90,4,3,4,0,4
,"",_93,4,4,4,0,4
,"",_112,4,3,4,0,4
,"",_130,4,2,3,0,3
,"",_148,4,3,0,0,0
,"",_158,4,2,3,0,3
,"",_166,4,2,3,1,4
,"",_46,3,2,3,0,3
,"",_68,3,3,3,0,3
,"",_71,3,2,0,0,0
,"",_72,3,3,3,0,3
,"",_77,3,3,3,0,3
,"",_83,3,3,2,0,2
,"",_92,3,3,3,0,3
,"",_94,3,3,2,0,2
,"",_102,3,4,1,0,1
,"",_103,3,3,2,0,2
,"",_105,3,2,2,0,2
,"",_113,3,3,3,0,3
,"",_121,3,3,3,0,3
,"",_122,3,3,2,1,3
,"",_123,3,2,3,0,3
,"",_135,3,3,2,0,2
,"",_136,3,3,3,0,3
,"",_137,3,3,2,0,2
,"",_145,3,3,3,0,3
,"",_151,3,2,3,0,3
,"",_154,3,3,3,0,3
,"",_163,3,2,3,0,3
,"",_167,3,2,3,0,3
,"",_169,3,2,3,0,3
,"",_170,3,3,3,0,3
,"",_245,3,2,3,0,3
,"",_289,3,1,3,0,3
,"",_294,3,2,3,0,3
,"",_302,3,2,3,0,3
,"",_319,3,2,3,0,3
,"",_360,3,1,2,0,2
,"",_367,3,1,3,0,3
,"",_377,3,1,3,0,3
,"",_392,3,2,3,0,3
,"",_32,2,2,2,0,2
,"",_51,2,2,2,0,2
,"",_56,2,2,1,0,1
,"",_60,2,1,0,0,0
,"",_67,2,2,1,0,1
,"",_73,2,3,2,0,2
,"",_74,2,2,1,0,1
,"",_78,2,1,2,0,2
,"",_88,2,2,2,0,2
,"",_91,2,2,1,0,1
,"",_95,2,1,2,0,2
,"",_101,2,2,1,0,1
,"",_106,2,2,2,0,2
,"",_107,2,2,2,0,2
,"",_108,2,2,0,2,2
,"",_109,2,1,1,0,1
,"",_115,2,1,2,0,2
,"",_116,2,1,0,0,0
,"",_117,2,2,2,0,2
,"",_119,2,2,1,1,2
,"",_120,2,2,2,0,2
,"",_124,2,2,2,0,2
,"",_125,2,2,1,0,1
,"",_128,2,2,2,0,2
,"",_133,2,1,2,0,2
,"",_138,2,2,2,0,2
,"",_142,2,3,0,2,2
,"",_156,2,2,2,0,2
,"",_157,2,1,2,0,2
,"",_159,2,1,1,0,1
,"",_160,2,1,0,0,0
,"",_161,2,1,2,0,2
,"",_165,2,1,2,0,2
,"",_172,2,2,2,0,2
,"",_173,2,2,2,0,2
,"",_175,2,2,2,0,2
,"",_177,2,2,2,0,2
,"",_178,2,2,2,0,2
,"",_179,2,1,2,0,2
,"",_181,2,1,2,0,2
,"",_184,2,1,0,0,0
,"",_186,2,2,1,0,1
,"",_187,2,2,2,0,2
,"",_194,2,2,2,0,2
,"",_195,2,2,2,0,2
,"",_197,2,2,1,1,2
,"",_198,2,2,2,0,2
,"",_199,2,2,2,0,2
,"",_200,2,2,2,0,2
,"",_201,2,2,0,1,1
,"",_202,2,2,2,0,2
,"",_204,2,2,0,0,0
,"",_214,2,1,2,0,2
,"",_217,2,2,2,0,2
,"",_219,2,1,2,0,2
,"",_228,2,1,2,0,2
,"",_235,2,1,2,0,2
,"",_241,2,2,1,0,1
,"",_242,2,2,0,1,1
,"",_248,2,2,2,0,2
,"",_251,2,1,2,0,2
,"",_252,2,2,2,0,2
,"",_254,2,1,2,0,2
,"",_257,2,2,2,0,2
,"",_259,2,2,0,0,0
,"",_260,2,2,1,0,1
,"",_261,2,2,2,0,2
,"",_270,2,2,2,0,2
,"",_275,2,1,2,0,2
,"",_276,2,2,1,0,1
,"",_279,2,2,2,0,2
,"",_280,2,1,2,0,2
,"",_281,2,2,2,0,2
,"",_286,2,2,0,2,2
,"",_291,2,1,2,0,2
,"",_296,2,2,2,0,2
,"",_297,2,1,2,0,2
,"",_299,2,1,2,0,2
,"",_303,2,2,2,0,2
,"",_304,2,2,2,0,2
,"",_305,2,2,2,0,2
,"",_306,2,1,2,0,2
,"",_307,2,2,2,0,2
,"",_308,2,2,2,0,2
,"",_309,2,2,2,0,2
,"",_310,2,2,2,0,2
,"",_313,2,2,2,0,2
,"",_315,2,2,0,0,0
,"",_324,2,2,2,0,2
,"",_325,2,2,2,0,2
,"",_330,2,2,2,0,2
,"",_337,2,1,2,0,2
,"",_338,2,2,1,0,1
,"",_341,2,2,2,0,2
,"",_344,2,1,2,0,2
,"",_348,2,2,2,0,2
,"",_351,2,2,2,0,2
,"",_356,2,1,2,0,2
,"",_366,2,1,2,0,2
,"",_373,2,1,1,0,1
,"",_376,2,1,2,0,2
,"",_378,2,1,2,0,2
,"",_379,2,1,2,0,2
,"",_388,2,2,2,0,2
,"",_391,2,1,2,0,2
,"",_396,2,2,2,0,2
,"",_401,2,1,2,0,2
,"",_403,2,2,2,0,2
,"",_404,2,2,2,0,2
,"",_405,2,2,2,0,2
,"",_427,2,1,2,0,2
,"",_459,2,1,2,0,2
,"",_496,2,1,2,0,2
,"",_563,2,1,2,0,2
,"",_586,2,1,2,0,2
,"",_587,2,1,1,0,1
,"",_625,2,1,2,0,2
,"",_640,2,1,2,0,2
,"",_705,2,1,2,0,2
,"",_740,2,1,2,0,2
,"",_771,2,1,2,0,2
,"",_773,2,1,2,0,2
,"",_796,2,1,2,0,2
,"",_827,2,1,2,0,2
,"",_864,2,1,2,0,2
,"",_880,2,1,2,0,2
,"",_892,2,1,1,1,2
,"",_931,2,1,1,0,1
,"",_1177,2,1,2,0,2
,"",_42,1,1,1,0,1
,"",_79,1,1,1,0,1
,"",_82,1,1,1,0,1
,"",_84,1,1,1,0,1
,"",_97,1,1,1,0,1
,"",_98,1,1,1,0,1
,"",_99,1,1,1,0,1
,"",_110,1,1,0,0,0
,"",_114,1,1,1,0,1
,"",_118,1,1,1,0,1
,"",_126,1,1,1,0,1
,"",_127,1,1,1,0,1
,"",_129,1,1,0,0,0
,"",_131,1,1,1,0,1
,"",_132,1,1,1,0,1
,"",_134,1,1,1,0,1
,"",_139,1,1,1,0,1
,"",_140,1,1,1,0,1
,"",_141,1,1,1,0,1
,"",_143,1,1,1,0,1
,"",_144,1,1,1,0,1
,"",_146,1,1,1,0,1
,"",_147,1,1,0,0,0
,"",_149,1,1,0,0,0
,"",_150,1,1,1,0,1
,"",_152,1,1,1,0,1
,"",_153,1,1,1,0,1
,"",_155,1,1,1,0,1
,"",_162,1,1,1,0,1
,"",_164,1,1,1,0,1
,"",_168,1,1,0,1,1
,"",_171,1,1,1,0,1
,"",_174,1,1,0,0,0
,"",_176,1,1,1,0,1
,"",_180,1,1,1,0,1
,"",_182,1,1,1,0,1
,"",_183,1,1,0,0,0
,"",_185,1,1,1,0,1
,"",_188,1,1,1,0,1
,"",_189,1,1,1,0,1
,"",_190,1,1,1,0,1
,"",_191,1,1,0,0,0
,"",_192,1,1,1,0,1
,"",_193,1,1,1,0,1
,"",_196,1,1,1,0,1
,"",_203,1,1,1,0,1
,"",_205,1,1,1,0,1
,"",_206,1,1,1,0,1
,"",_207,1,1,1,0,1
,"",_208,1,1,1,0,1
,"",_209,1,1,1,0,1
,"",_210,1,1,0,0,0
,"",_211,1,1,1,0,1
,"",_212,1,1,0,0,0
,"",_213,1,1,1,0,1
,"",_215,1,1,1,0,1
,"",_216,1,1,1,0,1
,"",_218,1,1,1,0,1
,"",_220,1,1,1,0,1
,"",_221,1,1,1,0,1
,"",_222,1,1,1,0,1
,"",_223,1,1,1,0,1
,"",_224,1,1,1,0,1
,"",_225,1,1,1,0,1
,"",_226,1,1,1,0,1
,"",_227,1,1,1,0,1
,"",_229,1,1,1,0,1
,"",_230,1,1,1,0,1
,"",_231,1,1,1,0,1
,"",_232,1,1,0,0,0
,"",_233,1,1,1,0,1
,"",_234,1,1,1,0,1
,"",_236,1,1,1,0,1
,"",_237,1,1,1,0,1
,"",_238,1,1,1,0,1
,"",_239,1,1,1,0,1
,"",_240,1,1,1,0,1
,"",_243,1,1,1,0,1
,"",_244,1,1,1,0,1
,"",_246,1,1,1,0,1
,"",_247,1,1,1,0,1
,"",_249,1,1,1,0,1
,"",_250,1,1,0,0,0
,"",_253,1,1,1,0,1
,"",_255,1,1,1,0,1
,"",_256,1,1,1,0,1
,"",_258,1,1,1,0,1
,"",_262,1,1,1,0,1
,"",_263,1,1,1,0,1
,"",_264,1,1,1,0,1
,"",_265,1,1,1,0,1
,"",_266,1,1,1,0,1
,"",_267,1,1,1,0,1
,"",_268,1,1,1,0,1
,"",_269,1,1,1,0,1
,"",_271,1,1,1,0,1
,"",_272,1,1,0,0,0
,"",_273,1,1,1,0,1
,"",_274,1,1,1,0,1
,"",_277,1,1,1,0,1
,"",_278,1,1,0,1,1
,"",_282,1,1,1,0,1
,"",_283,1,1,1,0,1
,"",_284,1,1,1,0,1
,"",_285,1,1,1,0,1
,"",_287,1,1,1,0,1
,"",_288,1,1,0,0,0
,"",_290,1,1,1,0,1
,"",_292,1,1,1,0,1
,"",_293,1,1,1,0,1
,"",_295,1,1,1,0,1
,"",_298,1,1,1,0,1
,"",_300,1,1,1,0,1
,"",_301,1,1,1,0,1
,"",_311,1,1,0,1,1
,"",_312,1,1,1,0,1
,"",_314,1,1,1,0,1
,"",_316,1,1,1,0,1
,"",_317,1,1,1,0,1
,"",_318,1,1,0,0,0
,"",_320,1,1,1,0,1
,"",_321,1,1,0,0,0
,"",_322,1,1,1,0,1
,"",_323,1,1,1,0,1
,"",_326,1,1,1,0,1
,"",_327,1,1,1,0,1
,"",_328,1,1,1,0,1
,"",_329,1,1,0,0,0
,"",_331,1,1,1,0,1
,"",_332,1,1,1,0,1
,"",_333,1,1,1,0,1
,"",_334,1,1,1,0,1
,"",_335,1,1,0,1,1
,"",_336,1,1,1,0,1
,"",_339,1,1,0,0,0
,"",_340,1,1,1,0,1
,"",_342,1,1,1,0,1
,"",_343,1,1,1,0,1
