Name,Description,Combined Group,Unique Machines,Unique UserID, Count F,Count H,EULA Machines
,"",_1,71,70,65,4,69
,"",_2,20,19,19,1,20
,"",_3,19,14,14,0,14
,"",_5,7,7,7,0,7
,"",_12,5,4,5,0,5
,"",_6,4,4,4,0,4
,"",_10,4,4,4,0,4
,"",_11,4,4,4,0,4
,"",_13,4,3,4,0,4
,"",_8,3,3,2,1,3
,"",_18,3,2,1,0,1
,"",_20,3,3,2,1,3
,"",_21,3,3,3,0,3
,"",_22,3,2,1,2,3
,"",_27,3,3,3,0,3
,"",_48,3,2,3,0,3
,"",_7,2,1,2,0,2
,"",_9,2,3,2,0,2
,"",_14,2,1,2,0,2
,"",_15,2,1,2,0,2
,"",_17,2,2,2,0,2
,"",_23,2,2,2,0,2
,"",_24,2,2,2,0,2
,"",_26,2,2,2,0,2
,"",_28,2,1,1,0,1
,"",_30,2,2,1,1,2
,"",_32,2,1,2,0,2
,"",_34,2,1,0,0,0
,"",_35,2,2,2,0,2
,"",_36,2,2,2,0,2
,"",_40,2,1,2,0,2
,"",_43,2,2,2,0,2
,"",_44,2,2,2,0,2
,"",_45,2,2,2,0,2
,"",_46,2,2,2,0,2
,"",_4,1,1,1,0,1
,"",_16,1,1,1,0,1
,"",_19,1,1,0,1,1
,"",_25,1,1,1,0,1
,"",_29,1,1,1,0,1
,"",_31,1,1,1,0,1
,"",_33,1,1,1,0,1
,"",_37,1,1,1,0,1
,"",_38,1,1,1,0,1
,"",_39,1,1,1,0,1
,"",_41,1,1,1,0,1
,"",_42,1,1,1,0,1
,"",_47,1,1,1,0,1
,"",_49,1,2,0,1,1
,"",_50,1,1,1,0,1
,"",_51,1,1,1,0,1
,"",_52,1,1,1,0,1
,"",_53,1,1,1,0,1
,"",_54,1,1,1,0,1
,"",_55,1,1,1,0,1
,"",_56,1,1,1,0,1
,"",_57,1,1,1,0,1
,"",_58,1,1,1,0,1
,"",_59,1,1,1,0,1
,"",_60,1,1,1,0,1
,"",_61,1,1,1,0,1
,"",_62,1,1,1,0,1
,"",_63,1,1,1,0,1
,"",_64,1,1,1,0,1
,"",_65,1,1,1,0,1
,"",_66,1,1,1,0,1
,"",_67,1,1,1,0,1
,"",_68,1,1,1,0,1
,"",_69,1,1,1,0,1
,"",_70,1,1,1,0,1
,"",_71,1,1,1,0,1
,"",_72,1,1,1,0,1
,"",_73,1,1,1,0,1
,"",_74,1,1,1,0,1
,"",_75,1,1,1,0,1
,"",_76,1,1,1,0,1
,"",_77,1,1,1,0,1
,"",_78,1,1,1,0,1
,"",_79,1,1,1,0,1
,"",_80,1,1,1,0,1
,"",_81,1,1,1,0,1
,"",_82,1,1,1,0,1
,"",_83,1,1,0,1,1
,"",_84,1,1,1,0,1
,"",_85,1,1,1,0,1
,"",_86,1,1,1,0,1
,"",_87,1,1,1,0,1
,"",_88,1,1,1,0,1
,"",_89,1,1,1,0,1
,"",_90,1,1,1,0,1
,"",_91,1,1,1,0,1
,"",_92,1,1,1,0,1
,"",_93,1,1,1,0,1
,"",_94,1,1,1,0,1
,"",_95,1,1,1,0,1
,"",_96,1,1,1,0,1
,"",_97,1,1,1,0,1
,"",_98,1,1,1,0,1
,"",_99,1,1,1,0,1
,"",_100,1,1,1,0,1
,"",_101,1,1,1,0,1
,"",_102,1,1,1,0,1
,"",_103,1,1,1,0,1
,"",_104,1,1,1,0,1
,"",_105,1,1,1,0,1
,"",_106,1,1,1,0,1
,"",_107,1,1,1,0,1
,"",_108,1,1,1,0,1
,"",_109,1,1,1,0,1
,"",_110,1,1,1,0,1
,"",_111,1,1,1,0,1
