Name,Description,Combined Group,Unique Machines,Unique UserID, Count F,Count H,EULA Machines
,"",_102,13,1,13,0,13
,"",_1,11,11,9,1,10
,"",_29,9,2,9,0,9
,"",_4,8,7,7,0,7
,"",_22,8,2,8,0,8
,"",_33,7,4,0,0,0
,"",_2,6,4,6,0,6
,"",_3,5,5,5,0,5
,"",_9,5,3,5,0,5
,"",_13,5,4,5,0,5
,"",_82,5,2,4,0,4
,"",_6,4,3,4,0,4
,"",_7,4,3,4,0,4
,"",_11,4,4,4,0,4
,"",_16,4,4,4,0,4
,"",_19,4,4,4,0,4
,"",_35,4,4,3,1,4
,"",_38,4,4,4,0,4
,"",_12,3,3,2,1,3
,"",_14,3,2,3,0,3
,"",_15,3,4,3,0,3
,"",_17,3,3,3,0,3
,"",_20,3,3,3,0,3
,"",_25,3,3,3,0,3
,"",_27,3,3,3,0,3
,"",_37,3,2,3,0,3
,"",_45,3,3,2,0,2
,"",_60,3,3,3,0,3
,"",_63,3,1,1,0,1
,"",_84,3,2,3,0,3
,"",_86,3,3,3,0,3
,"",_89,3,3,3,0,3
,"",_120,3,2,3,0,3
,"",_241,3,1,3,0,3
,"",_293,3,2,3,0,3
,"",_318,3,1,2,1,3
,"",_10,2,2,2,0,2
,"",_18,2,1,2,0,2
,"",_21,2,1,2,0,2
,"",_26,2,2,2,0,2
,"",_30,2,2,2,0,2
,"",_36,2,2,2,0,2
,"",_39,2,2,1,0,1
,"",_40,2,1,2,0,2
,"",_42,2,2,2,0,2
,"",_48,2,1,2,0,2
,"",_49,2,1,2,0,2
,"",_51,2,1,2,0,2
,"",_52,2,2,2,0,2
,"",_55,2,2,2,0,2
,"",_61,2,2,2,0,2
,"",_62,2,2,2,0,2
,"",_68,2,1,2,0,2
,"",_73,2,2,2,0,2
,"",_75,2,2,2,0,2
,"",_76,2,2,2,0,2
,"",_77,2,2,2,0,2
,"",_81,2,2,1,0,1
,"",_83,2,1,2,0,2
,"",_90,2,3,2,0,2
,"",_91,2,2,2,0,2
,"",_97,2,1,2,0,2
,"",_98,2,2,2,0,2
,"",_113,2,1,2,0,2
,"",_118,2,2,2,0,2
,"",_124,2,1,0,0,0
,"",_125,2,2,2,0,2
,"",_126,2,2,2,0,2
,"",_127,2,2,1,1,2
,"",_128,2,2,1,1,2
,"",_129,2,1,2,0,2
,"",_137,2,2,2,0,2
,"",_140,2,1,2,0,2
,"",_146,2,1,2,0,2
,"",_150,2,1,0,0,0
,"",_152,2,1,2,0,2
,"",_165,2,2,1,0,1
,"",_169,2,2,2,0,2
,"",_177,2,1,2,0,2
,"",_181,2,2,2,0,2
,"",_185,2,1,2,0,2
,"",_186,2,2,2,0,2
,"",_192,2,2,2,0,2
,"",_193,2,1,2,0,2
,"",_194,2,1,1,0,1
,"",_196,2,1,2,0,2
,"",_204,2,1,2,0,2
,"",_205,2,1,2,0,2
,"",_209,2,1,2,0,2
,"",_212,2,2,2,0,2
,"",_213,2,2,2,0,2
,"",_214,2,2,2,0,2
,"",_216,2,2,2,0,2
,"",_218,2,2,2,0,2
,"",_224,2,1,2,0,2
,"",_230,2,1,2,0,2
,"",_234,2,1,2,0,2
,"",_245,2,2,2,0,2
,"",_247,2,1,2,0,2
,"",_250,2,1,2,0,2
,"",_251,2,1,2,0,2
,"",_255,2,2,2,0,2
,"",_262,2,1,2,0,2
,"",_264,2,1,2,0,2
,"",_266,2,2,2,0,2
,"",_267,2,1,2,0,2
,"",_270,2,2,2,0,2
,"",_271,2,2,2,0,2
,"",_273,2,2,2,0,2
,"",_274,2,1,2,0,2
,"",_276,2,2,2,0,2
,"",_277,2,2,2,0,2
,"",_289,2,2,2,0,2
,"",_291,2,2,2,0,2
,"",_292,2,2,1,0,1
,"",_297,2,1,2,0,2
,"",_304,2,2,2,0,2
,"",_305,2,2,1,0,1
,"",_306,2,2,2,0,2
,"",_307,2,2,2,0,2
,"",_311,2,2,2,0,2
,"",_312,2,2,2,0,2
,"",_320,2,2,2,0,2
,"",_322,2,1,2,0,2
,"",_326,2,2,2,0,2
,"",_343,2,2,2,0,2
,"",_358,2,1,2,0,2
,"",_365,2,2,2,0,2
,"",_370,2,2,2,0,2
,"",_371,2,2,2,0,2
,"",_372,2,2,2,0,2
,"",_379,2,2,2,0,2
,"",_380,2,2,2,0,2
,"",_383,2,2,2,0,2
,"",_384,2,2,2,0,2
,"",_387,2,2,2,0,2
,"",_388,2,1,0,2,2
,"",_429,2,1,2,0,2
,"",_709,2,1,1,0,1
,"",_780,2,1,2,0,2
,"",_902,2,1,2,0,2
,"",_1082,2,1,2,0,2
,"",_1198,2,1,2,0,2
,"",_1235,2,1,2,0,2
,"",_1266,2,1,2,0,2
,"",_1557,2,1,2,0,2
,"",_1662,2,1,2,0,2
,"",_1803,2,1,2,0,2
,"",_1837,2,1,2,0,2
,"",_5,1,1,1,0,1
,"",_8,1,1,1,0,1
,"",_23,1,2,0,0,0
,"",_24,1,1,1,0,1
,"",_28,1,1,1,0,1
,"",_31,1,1,1,0,1
,"",_32,1,2,1,0,1
,"",_34,1,1,1,0,1
,"",_41,1,2,1,0,1
,"",_43,1,1,1,0,1
,"",_44,1,1,1,0,1
,"",_46,1,1,1,0,1
,"",_47,1,2,1,0,1
,"",_50,1,1,1,0,1
,"",_53,1,1,1,0,1
,"",_54,1,1,1,0,1
,"",_56,1,1,1,0,1
,"",_57,1,1,0,0,0
,"",_58,1,1,1,0,1
,"",_59,1,1,1,0,1
,"",_64,1,1,1,0,1
,"",_65,1,1,1,0,1
,"",_66,1,1,1,0,1
,"",_67,1,1,1,0,1
,"",_69,1,1,1,0,1
,"",_70,1,1,1,0,1
,"",_71,1,1,1,0,1
,"",_72,1,1,1,0,1
,"",_74,1,2,0,0,0
,"",_78,1,1,0,0,0
,"",_79,1,1,1,0,1
,"",_80,1,1,0,0,0
,"",_85,1,1,0,0,0
,"",_87,1,1,1,0,1
,"",_88,1,1,1,0,1
,"",_92,1,1,0,0,0
,"",_93,1,1,1,0,1
,"",_94,1,1,1,0,1
,"",_95,1,1,0,0,0
,"",_96,1,1,1,0,1
,"",_99,1,1,1,0,1
,"",_100,1,1,1,0,1
,"",_101,1,1,1,0,1
,"",_103,1,1,1,0,1
,"",_104,1,1,1,0,1
,"",_105,1,1,1,0,1
,"",_106,1,1,1,0,1
,"",_107,1,1,1,0,1
,"",_108,1,1,1,0,1
,"",_109,1,1,1,0,1
,"",_110,1,1,0,0,0
,"",_111,1,1,1,0,1
,"",_112,1,1,0,1,1
,"",_114,1,1,1,0,1
,"",_115,1,1,1,0,1
,"",_116,1,1,1,0,1
,"",_117,1,1,1,0,1
,"",_119,1,1,1,0,1
,"",_121,1,1,1,0,1
,"",_122,1,1,1,0,1
,"",_123,1,1,0,0,0
,"",_130,1,1,1,0,1
,"",_131,1,1,1,0,1
,"",_132,1,1,1,0,1
,"",_133,1,1,1,0,1
,"",_134,1,1,1,0,1
,"",_135,1,2,1,0,1
,"",_136,1,1,1,0,1
,"",_138,1,1,1,0,1
,"",_139,1,1,1,0,1
,"",_141,1,1,1,0,1
,"",_142,1,1,1,0,1
,"",_143,1,1,1,0,1
,"",_144,1,1,1,0,1
,"",_145,1,1,1,0,1
,"",_147,1,1,1,0,1
,"",_148,1,1,1,0,1
,"",_149,1,1,1,0,1
,"",_151,1,1,1,0,1
,"",_153,1,1,1,0,1
,"",_154,1,1,1,0,1
,"",_155,1,1,0,0,0
,"",_156,1,1,1,0,1
,"",_157,1,1,1,0,1
,"",_158,1,1,1,0,1
,"",_159,1,1,1,0,1
,"",_160,1,1,1,0,1
,"",_161,1,1,1,0,1
,"",_162,1,1,1,0,1
,"",_163,1,1,1,0,1
,"",_164,1,1,1,0,1
,"",_166,1,1,1,0,1
,"",_167,1,2,1,0,1
,"",_168,1,1,1,0,1
,"",_170,1,1,1,0,1
,"",_171,1,1,1,0,1
,"",_172,1,1,1,0,1
,"",_173,1,1,1,0,1
,"",_174,1,1,1,0,1
,"",_175,1,1,1,0,1
,"",_176,1,1,1,0,1
