Name,Description,Combined Group,Unique Machines,Unique UserID, Count F,Count H,EULA Machines
,"",_36,24,4,20,0,20
,"",_1,18,14,13,0,13
,"",_769,17,1,12,0,12
,"",_8,15,8,4,0,4
,"",_4,13,12,3,0,3
,"",_3,12,12,4,0,4
,"",_30,12,3,7,0,7
,"",_2,11,11,1,1,2
,"",_5,11,3,2,0,2
,"",_22,11,3,8,0,8
,"",_20,10,6,0,0,0
,"",_967,10,2,7,0,7
,"",_7,9,9,3,1,4
,"",_34,9,1,7,0,7
,"",_13,8,6,7,0,7
,"",_14,8,8,1,0,1
,"",_17,8,8,0,0,0
,"",_18,8,2,8,0,8
,"",_39,8,2,4,1,5
,"",_11,7,6,5,0,5
,"",_66,7,1,3,0,3
,"",_142,7,3,7,0,7
,"",_233,7,2,7,0,7
,"",_238,7,1,6,0,6
,"",_609,7,1,6,0,6
,"",_6,6,6,6,0,6
,"",_12,6,2,1,0,1
,"",_23,6,5,6,0,6
,"",_29,6,5,0,0,0
,"",_32,6,6,6,0,6
,"",_51,6,5,4,0,4
,"",_58,6,2,1,5,6
,"",_62,6,1,3,0,3
,"",_71,6,3,4,0,4
,"",_406,6,3,6,0,6
,"",_484,6,2,6,0,6
,"",_654,6,2,6,0,6
,"",_815,6,1,3,3,6
,"",_1853,6,2,6,0,6
,"",_28,5,5,3,2,5
,"",_59,5,3,5,0,5
,"",_91,5,2,4,0,4
,"",_112,5,3,5,0,5
,"",_122,5,1,5,0,5
,"",_145,5,1,4,0,4
,"",_390,5,3,4,0,4
,"",_446,5,1,5,0,5
,"",_1054,5,2,5,0,5
,"",_1121,5,2,5,0,5
,"",_27,4,4,0,0,0
,"",_37,4,3,1,0,1
,"",_45,4,3,4,0,4
,"",_52,4,2,1,0,1
,"",_53,4,2,2,2,4
,"",_60,4,3,1,0,1
,"",_61,4,4,4,0,4
,"",_70,4,3,4,0,4
,"",_77,4,2,4,0,4
,"",_95,4,2,4,0,4
,"",_111,4,4,4,0,4
,"",_166,4,3,1,0,1
,"",_191,4,3,3,0,3
,"",_253,4,2,3,0,3
,"",_344,4,2,4,0,4
,"",_459,4,2,2,0,2
,"",_501,4,1,4,0,4
,"",_948,4,1,4,0,4
,"",_1002,4,2,3,0,3
,"",_1186,4,1,4,0,4
,"",_1277,4,2,2,2,4
,"",_1410,4,1,3,0,3
,"",_1485,4,1,0,0,0
,"",_1592,4,2,3,0,3
,"",_1724,4,1,4,0,4
,"",_1840,4,2,2,0,2
,"",_1890,4,2,4,0,4
,"",_7445,4,1,2,0,2
,"",_10,3,2,2,0,2
,"",_16,3,1,0,0,0
,"",_19,3,3,3,0,3
,"",_25,3,5,2,0,2
,"",_31,3,2,2,0,2
,"",_33,3,2,2,0,2
,"",_35,3,3,3,0,3
,"",_38,3,3,3,0,3
,"",_42,3,3,3,0,3
,"",_43,3,2,3,0,3
,"",_47,3,1,3,0,3
,"",_48,3,3,1,0,1
,"",_50,3,2,3,0,3
,"",_69,3,1,1,0,1
,"",_75,3,2,2,0,2
,"",_80,3,3,1,0,1
,"",_81,3,2,2,1,3
,"",_83,3,3,2,0,2
,"",_84,3,3,3,0,3
,"",_98,3,3,3,0,3
,"",_100,3,3,3,0,3
,"",_101,3,3,2,0,2
,"",_105,3,1,1,0,1
,"",_107,3,1,2,1,3
,"",_109,3,3,2,0,2
,"",_119,3,2,3,0,3
,"",_124,3,1,1,0,1
,"",_136,3,1,3,0,3
,"",_138,3,2,3,0,3
,"",_143,3,2,3,0,3
,"",_144,3,3,3,0,3
,"",_149,3,3,3,0,3
,"",_154,3,1,1,2,3
,"",_161,3,2,3,0,3
,"",_165,3,2,3,0,3
,"",_167,3,3,1,0,1
,"",_168,3,1,3,0,3
,"",_188,3,1,3,0,3
,"",_199,3,1,2,0,2
,"",_205,3,3,3,0,3
,"",_222,3,1,3,0,3
,"",_228,3,2,2,1,3
,"",_232,3,2,3,0,3
,"",_235,3,2,3,0,3
,"",_262,3,2,3,0,3
,"",_264,3,3,3,0,3
,"",_267,3,3,3,0,3
,"",_274,3,3,3,0,3
,"",_277,3,1,3,0,3
,"",_281,3,2,2,0,2
,"",_283,3,1,3,0,3
,"",_295,3,2,1,2,3
,"",_302,3,1,3,0,3
,"",_303,3,2,3,0,3
,"",_305,3,1,3,0,3
,"",_307,3,1,3,0,3
,"",_316,3,2,0,2,2
,"",_320,3,2,2,0,2
,"",_330,3,3,3,0,3
,"",_336,3,2,3,0,3
,"",_340,3,3,3,0,3
,"",_342,3,2,2,0,2
,"",_367,3,2,2,0,2
,"",_373,3,3,2,0,2
,"",_374,3,3,0,0,0
,"",_379,3,3,3,0,3
,"",_395,3,1,0,0,0
,"",_401,3,1,2,0,2
,"",_403,3,2,1,1,2
,"",_411,3,1,3,0,3
,"",_413,3,1,1,0,1
