Name,Description,Combined Group,Unique Machines,Unique UserID, Count F,Count H,EULA Machines
ABI - Onesoft,"https://genesis.hq.unity3d.com/users/2330878/
hungtm@onesoft.com.vn
https://genesis.hq.unity3d.com/organizations/18966592459647/
http://thaidong.com.vn/


",_1,50,33,23,24,47
Gear Inc,"https://genesis.hq.unity3d.com/organizations/2018388/
https://genesis.hq.unity3d.com/organizations/18966625056278/
https://genesis.hq.unity3d.com/users/4690573/
https://genesis.hq.unity3d.com/users/18966593843202/
https://genesis.hq.unity3d.com/users/2426110/
https://genesis.hq.unity3d.com/users/18966715582496/
https://genesis.hq.unity3d.com/organizations/2018388/
https://genesis.hq.unity3d.com/users/18966717349063/


",_11,49,44,35,6,41
Rocket - Onesoft,"https://genesis.hq.unity3d.com/organizations/17867065208868/
https://genesis.hq.unity3d.com/users/18966755140055/
https://genesis.hq.unity3d.com/users/18966717410526/
https://genesis.hq.unity3d.com/users/18966793550851/


",_4,30,22,11,19,30
Amanotes,"https://genesis.hq.unity3d.com/users/18966721915092/
https://genesis.hq.unity3d.com/organizations/3578764/
https://genesis.hq.unity3d.com/organizations/18966700642687/
https://genesis.hq.unity3d.com/users/18966715382989/


",_16,29,24,21,0,21
Gameloft,"https://genesis.hq.unity3d.com/organizations/9071028540679/
https://genesis.hq.unity3d.com/organizations/9071028540679/members-groups


",_17,27,19,12,0,12
Imba Game Studio,"https://genesis.hq.unity3d.com/organizations/786901/
https://thesugagroup.com/
https://imba.co/


",_2,26,20,22,1,23
VNG,"https://genesis.hq.unity3d.com/organizations/18966653606491/
https://play.google.com/store/apps/dev?id=5261964832059401451
https://genesis.hq.unity3d.com/organizations/93316/
https://genesis.hq.unity3d.com/organizations/20066132969623/
https://genesis.hq.unity3d.com/users/20066140312855/
https://genesis.hq.unity3d.com/users/20066132969620/


",_5,23,18,17,5,22
iKame,"https://genesis.hq.unity3d.com/organizations/636727/
https://genesis.hq.unity3d.com/organizations/18966600201681/projects/c8920e89-cbf2-4787-bef6-43d9f2c108a3#members
https://genesis.hq.unity3d.com/users/3795970/
https://genesis.hq.unity3d.com/organizations/18966600201681/


",_7,23,16,16,7,23
Zitga,"https://genesis.hq.unity3d.com/organizations/3606368/
https://genesis.hq.unity3d.com/users/5701336/


",_6,21,17,17,4,21
Onesoft - Falcon,"https://genesis.hq.unity3d.com/users/18966595375480/
https://genesis.hq.unity3d.com/organizations/18966595375483/members-groups
https://genesis.hq.unity3d.com/users/18966691210282/
https://play.google.com/store/apps/dev?id=7627571908184472902


",_8,21,18,11,7,18
Goodia,"https://genesis.hq.unity3d.com/organizations/2257223/
 https://genesis.hq.unity3d.com/organizations/570784/
 http://goodia.co.jp/
 https://genesis.hq.unity3d.com/users/2914396/
 https://genesis.hq.unity3d.com/organizations/1493310/
 https://genesis.hq.unity3d.com/organizations/20066131252378/

",_18,20,16,17,2,19
GoGame,"https://gogame.net/
https://genesis.hq.unity3d.com/organizations/18966797729143/
https://genesis.hq.unity3d.com/organizations/16767555183560/
https://genesis.hq.unity3d.com/organizations/18966602244131/


",_22,20,19,13,1,14
Antada,"",_13,20,15,19,0,19
BraveStars - Zonmob,"https://genesis.hq.unity3d.com/organizations/18966594999013/
https://genesis.hq.unity3d.com/users/18966801388677/
https://genesis.hq.unity3d.com/users/18966777587490/
https://genesis.hq.unity3d.com/users/18966737903339/
https://genesis.hq.unity3d.com/users/6605393/
https://genesis.hq.unity3d.com/users/18966775518498/


",_10,16,13,14,1,15
OneTech Asia JSC,"https://genesis.hq.unity3d.com/organizations/18966610878077/
https://genesis.hq.unity3d.com/users/6341275/
https://onetech.vn/recruit


",_12,15,11,13,0,13
BAP Software,"https://bap-software.net/en/
https://genesis.hq.unity3d.com/organizations/4113619/
https://genesis.hq.unity3d.com/users/6190043/


",_14,15,10,13,0,13
teamobi.vn,"http://teamobi.vn/home/home-page.html
https://genesis.hq.unity3d.com/organizations/152990/
https://genesis.hq.unity3d.com/users/233464/


",_24,12,8,9,2,11
PeopleSQ,"https://genesis.hq.unity3d.com/organizations/2473944758381/
http://playboostnow.com/
https://genesis.hq.unity3d.com/users/2473944758377/
ASNET
https://genesis.hq.unity3d.com/organizations/10750/
Looks like ASNET is doing outsourcing work for PeopleSQ
https://genesis.hq.unity3d.com/users/2909886/


",_45,12,9,10,0,10
https://genesis.hq.unity3d.com/organizations/18966779183240/,"https://genesis.hq.unity3d.com/organizations/18966696130162/


",_21,11,9,8,3,11
https://fireholderstudio.com/,"https://genesis.hq.unity3d.com/users/18966839267173/
 https://genesis.hq.unity3d.com/organizations/18966839267179/

",_443,11,9,8,2,10
CSC Mobi,"",_15,11,7,5,4,9
The Corgi Team,"https://genesis.hq.unity3d.com/organizations/2044079/
https://genesis.hq.unity3d.com/organizations/2043853/


",_29,10,8,9,0,9
SGLib games,"https://genesis.hq.unity3d.com/users/1374437212999/
https://genesis.hq.unity3d.com/organizations/1143152/
https://genesis.hq.unity3d.com/organizations/18966594458917/


",_35,10,7,9,0,9
Asean Fan - Grateful Days,"http://aseanfan.com/
https://genesis.hq.unity3d.com/organizations/307628/
https://genesis.hq.unity3d.com/users/85629/
https://genesis.hq.unity3d.com/users/2128211/
https://genesis.hq.unity3d.com/users/18966770312613/


",_85,10,4,10,0,10
AltPlus,"https://altplus.com.vn/
https://genesis.hq.unity3d.com/organizations/165838/
https://genesis.hq.unity3d.com/users/18966732574482/
https://genesis.hq.unity3d.com/organizations/18966732574487/members-groups
https://genesis.hq.unity3d.com/organizations/18966851933475/members-groups


",_299,10,10,10,0,10
Vkids,"https://play.google.com/store/apps/developer?id=VKids&hl=en
https://genesis.hq.unity3d.com/users/5469026/
https://vkidsapp.com/


",_37,9,8,8,0,8
Simulation.vn,"",_20,9,9,9,0,9
KixEye,"https://genesis.hq.unity3d.com/organizations/86950/
https://genesis.hq.unity3d.com/users/18966737800202/
https://genesis.hq.unity3d.com/users/4366219/


",_67,9,9,2,0,2
inwave game studio,"https://genesis.hq.unity3d.com/users/20066127856832/
https://genesis.hq.unity3d.com/organizations/20066127856835/
https://www.facebook.com/pages/category/Gaming-Video-Creator/Inwave-Studio-889367298089921/
Linked with Amanotes


",_57,9,8,3,5,8
IMOSYS - Onesoft,"https://imosys.net/
https://genesis.hq.unity3d.com/users/18966758539923/
https://genesis.hq.unity3d.com/users/18966864761646/


",_60,9,7,6,3,9
Athena,"https://genesis.hq.unity3d.com/organizations/1374429426877/
https://genesis.hq.unity3d.com/organizations/18966766433521/
https://genesis.hq.unity3d.com/organizations/18966733399785/
https://genesis.hq.unity3d.com/organizations/18966653466577/
https://genesis.hq.unity3d.com/users/1374429426874/


",_59,9,6,5,1,6
Rollbox Studio,"https://genesis.hq.unity3d.com/organizations/1374448055350/


",_31,8,6,8,0,8
Punch Entertainment,"Punch.vn
 https://genesis.hq.unity3d.com/organizations/18966598966767/
 https://genesis.hq.unity3d.com/users/18966845990896/
 https://genesis.hq.unity3d.com/users/18966864718842/
 Sun Monkey Studio
 https://genesis.hq.unity3d.com/organizations/18966593979293/
 Looks like a dev that is working at Punch also own a separate business
 https://genesis.hq.unity3d.com/users/18966593979290/

",_169,8,6,3,3,6
GIANTY Inc - GNT VN,"https://genesis.hq.unity3d.com/organizations/18966672819082/
https://genesis.hq.unity3d.com/organizations/18966672819082/members-groups
https://genesis.hq.unity3d.com/users/1784339/


",_207,8,7,7,0,7
Flow Motion Entertainment,"flowmotionentertainment.com
https://genesis.hq.unity3d.com/organizations/2486312/
https://genesis.hq.unity3d.com/users/3493108/
https://genesis.hq.unity3d.com/users/3014296/


",_115,8,5,3,2,5
,"",_34,8,6,1,5,6
No Power Up,"https://genesis.hq.unity3d.com/organizations/2383068/
https://genesis.hq.unity3d.com/organizations/2383053/
https://ptt-solution.com/contact-us
https://genesis.hq.unity3d.com/users/4952020/
https://genesis.hq.unity3d.com/organizations/18966635591314/
https://genesis.hq.unity3d.com/users/18966635591310/


",_256,7,6,5,0,5
MINTPOT VINA COMPANY,"https://genesis.hq.unity3d.com/organizations/18966869912995/


",_357,7,4,6,1,7
Le Quy Don University,"https://genesis.hq.unity3d.com/organizations/18966799119428/
https://genesis.hq.unity3d.com/organizations/3076357/


",_40,7,4,4,3,7
Fitin,"https://genesis.hq.unity3d.com/users/18966858018930/
https://genesis.hq.unity3d.com/organizations/18966858018935/
https://genesis.hq.unity3d.com/organizations/126509/
https://genesis.hq.unity3d.com/users/454657/
dung.dinh.nguyen@fitin.vn


",_77,7,6,4,3,7
Dai Hoc Da Lat,"Nicolas working place
http://dlu.edu.vn/
https://genesis.hq.unity3d.com/users/18966865446740/


",_663,7,7,7,0,7
BBGames Studio,"https://genesis.hq.unity3d.com/users/5089087/
https://genesis.hq.unity3d.com/organizations/2591852/
https://genesis.hq.unity3d.com/users/18966711899545/


",_19,7,5,6,0,6
,"",_30,7,6,7,0,7
,"",_36,7,5,7,0,7
,"",_63,7,4,6,0,6
,"",_182,7,3,7,0,7
Kaopiz Software Co Ltd,"Outsourcing company


",_66,6,6,5,0,5
Hiker Games,"https://genesis.hq.unity3d.com/users/712131/
https://genesis.hq.unity3d.com/organizations/412949/
https://genesis.hq.unity3d.com/organizations/2588527/
https://genesis.hq.unity3d.com/organizations/4442783/


",_33,6,6,3,0,3
Grep Game,"https://grepgame.com/
https://genesis.hq.unity3d.com/users/18966712182958/
https://genesis.hq.unity3d.com/users/4134640/


",_93,6,5,6,0,6
,"",_47,6,4,6,0,6
,"",_61,6,5,4,2,6
,"",_62,6,6,4,2,6
,"",_83,6,3,5,1,6
,"",_84,6,5,4,0,4
https://cubicegg.asia/en/portfolio_en/,"",_72,5,5,5,0,5
ftech.ai,"https://genesis.hq.unity3d.com/organizations/2151846/ https://genesis.hq.unity3d.com/users/4793388/
",_50,5,4,5,0,5
,"",_43,5,3,4,1,5
,"",_55,5,5,5,0,5
,"",_69,5,4,4,0,4
,"",_71,5,4,1,4,5
,"",_76,5,3,4,0,4
,"",_80,5,3,4,0,4
,"",_82,5,2,0,5,5
,"",_86,5,2,4,0,4
,"",_94,5,4,5,0,5
,"",_104,5,3,5,0,5
,"",_107,5,3,5,0,5
,"",_113,5,4,3,1,4
,"",_120,5,2,3,2,5
,"",_181,5,2,0,5,5
Weegoon,"https://genesis.hq.unity3d.com/organizations/18966727616399/
https://genesis.hq.unity3d.com/users/18966768809198/
https://genesis.hq.unity3d.com/users/18966727616394/


",_257,4,4,2,2,4
Topebox,"https://genesis.hq.unity3d.com/organizations/2182327/
https://genesis.hq.unity3d.com/organizations/18966796068481/
https://genesis.hq.unity3d.com/organizations/2182307/
https://genesis.hq.unity3d.com/organizations/18966802506978/


",_119,4,4,4,0,4
PortCoast,"https://genesis.hq.unity3d.com/organizations/18966781379716/
https://genesis.hq.unity3d.com/users/18966781379710/


",_23,4,3,3,0,3
Mecury Studio,"Game Studio / Oursourcing
Hiring Unity devs
https://genesis.hq.unity3d.com/organizations/577017/
https://genesis.hq.unity3d.com/users/3560761/


",_311,4,3,2,0,2
,"",_28,4,3,1,0,1
,"",_39,4,2,4,0,4
,"",_44,4,2,2,0,2
,"",_52,4,4,2,1,3
,"",_96,4,3,0,4,4
,"",_101,4,4,4,0,4
,"",_112,4,4,3,1,4
,"",_114,4,3,4,0,4
,"",_117,4,2,3,0,3
,"",_127,4,2,3,0,3
,"",_131,4,2,4,0,4
,"",_197,4,3,3,0,3
,"",_203,4,2,4,0,4
,"",_208,4,2,4,0,4
,"",_209,4,3,4,0,4
,"",_2376,4,1,2,2,4
Caerux,"http://www.caerux.com/
https://genesis.hq.unity3d.com/organizations/1380658/
https://genesis.hq.unity3d.com/users/708497/


",_27,3,3,2,0,2
,"",_64,3,1,3,0,3
,"",_70,3,2,1,2,3
,"",_87,3,1,3,0,3
,"",_90,3,3,3,0,3
,"",_95,3,1,3,0,3
,"",_103,3,3,2,0,2
,"",_121,3,3,1,2,3
,"",_122,3,3,3,0,3
,"",_126,3,3,2,1,3
,"",_140,3,2,0,3,3
,"",_150,3,2,1,2,3
,"",_151,3,3,3,0,3
,"",_154,3,3,3,0,3
,"",_155,3,3,2,0,2
,"",_158,3,2,3,0,3
,"",_175,3,2,2,1,3
,"",_176,3,3,3,0,3
,"",_186,3,3,3,0,3
,"",_201,3,2,3,0,3
,"",_202,3,3,3,0,3
,"",_206,3,2,3,0,3
,"",_222,3,1,3,0,3
,"",_226,3,2,3,0,3
,"",_231,3,1,3,0,3
,"",_239,3,3,3,0,3
,"",_246,3,2,3,0,3
,"",_276,3,2,3,0,3
,"",_282,3,1,3,0,3
,"",_287,3,2,3,0,3
,"",_325,3,2,3,0,3
,"",_338,3,1,3,0,3
,"",_344,3,2,3,0,3
,"",_350,3,2,3,0,3
,"",_363,3,2,3,0,3
,"",_383,3,2,2,1,3
,"",_452,3,1,3,0,3
,"",_469,3,2,1,2,3
,"",_493,3,2,3,0,3
,"",_560,3,1,3,0,3
,"",_569,3,1,1,2,3
,"",_577,3,2,3,0,3
,"",_611,3,1,3,0,3
,"",_641,3,2,3,0,3
,"",_51,2,1,0,2,2
,"",_53,2,2,2,0,2
,"",_97,2,2,2,0,2
,"",_105,2,2,1,1,2
,"",_106,2,1,1,0,1
,"",_108,2,2,2,0,2
,"",_124,2,2,2,0,2
,"",_128,2,1,2,0,2
,"",_130,2,1,2,0,2
,"",_135,2,2,1,1,2
,"",_138,2,1,2,0,2
,"",_143,2,2,2,0,2
,"",_144,2,2,1,1,2
,"",_145,2,2,1,0,1
,"",_146,2,1,1,0,1
,"",_149,2,1,2,0,2
,"",_157,2,1,2,0,2
,"",_160,2,1,1,0,1
,"",_162,2,1,2,0,2
,"",_163,2,2,0,1,1
,"",_165,2,1,0,2,2
,"",_166,2,1,2,0,2
,"",_174,2,1,2,0,2
,"",_180,2,2,1,0,1
,"",_184,2,2,2,0,2
,"",_187,2,2,1,1,2
,"",_188,2,2,2,0,2
,"",_190,2,1,2,0,2
,"",_192,2,1,2,0,2
,"",_193,2,2,2,0,2
